,5rme_A_fpocket,5rme_B_fpocket,5rme_A_p2rank,5rme_B_p2rank,IoU
2088,12,12,11,15,0.1837
2643,17,32,9,8,0.1777
1829,10,10,2,2,0.1776
1987,11,11,6,7,0.1494
1351,7,7,6,7,0.1461
284,2,2,2,2,0.1373
2228,13,13,6,7,0.1364
2904,22,22,1,4,0.1356
3284,28,28,8,12,0.1356
3164,26,32,9,8,0.1333
1382,7,11,6,7,0.13
1190,6,6,2,2,0.1278
2617,17,17,9,8,0.127
304,2,3,2,2,0.1202
2383,14,14,8,12,0.11237
1956,11,7,6,7,0.11206
3152,26,26,9,8,0.1096
2374,14,14,2,2,0.1091
394,2,10,2,2,0.1055
2234,13,13,11,15,0.1047
2123,12,29,11,15,0.10345
1563,8,8,2,2,0.1022
1399,7,13,6,7,0.1017
2220,13,12,11,15,0.0989
280,2,2,1,1,0.0984
319,2,4,1,1,0.09625
834,4,4,1,1,0.0956
2208,13,11,6,7,0.0952
2004,11,13,6,7,0.0923
2177,13,7,6,7,0.0923
1761,10,3,2,2,0.0918
562,3,3,1,1,0.0914
3086,25,25,7,9,0.0909
1745,10,2,2,2,0.09045
587,3,4,1,1,0.08997
566,3,3,2,2,0.08887
1364,7,8,6,7,0.0878
2273,13,29,11,15,0.0874
345,2,6,2,2,0.0849
1576,8,8,5,6,0.0833
2189,13,8,6,7,0.0833
2134,12,34,11,15,0.0833
1202,6,6,8,12,0.08264
2903,22,22,1,1,0.082
2096,12,13,11,15,0.08185
835,4,4,1,4,0.0809
267,2,1,2,2,0.0803
1969,11,8,6,7,0.08026
1812,10,8,2,2,0.08
300,2,3,1,1,0.07983
375,2,8,2,2,0.0796
2630,17,26,9,8,0.0792
537,3,2,1,1,0.07904
1244,6,14,2,2,0.078
3079,25,15,7,9,0.0769
1251,6,14,8,12,0.0769
541,3,2,2,2,0.0762
1570,8,8,4,3,0.07574
3139,26,17,9,8,0.0755
1162,6,3,2,2,0.0752
995,5,5,4,3,0.07385
1588,8,10,2,2,0.0736
1533,8,6,2,2,0.0732
1149,6,2,2,2,0.07294
2084,12,12,9,8,0.07275
1136,6,1,2,2,0.072
10,1,1,4,3,0.07025
2125,12,32,9,8,0.0702
899,4,19,1,1,0.06964
1468,8,2,2,2,0.06934
2333,14,6,2,2,0.06915
1490,8,3,2,2,0.0686
2341,14,6,8,12,0.06714
2959,23,23,1,4,0.06665
1791,10,6,2,2,0.06665
517,3,1,2,2,0.06586
1225,6,10,2,2,0.06586
1732,10,1,2,2,0.0651
844,4,5,1,4,0.0647
1446,8,1,2,2,0.0642
323,2,4,2,2,0.06415
1206,6,8,2,2,0.06396
451,2,19,1,1,0.0636
2416,14,28,8,12,0.0635
988,5,5,2,2,0.0633
2038,11,32,9,8,0.0633
3260,28,14,8,12,0.063
908,4,22,1,4,0.0625
2485,15,15,3,3,0.0625
425,2,14,2,2,0.06152
145,1,10,4,3,0.0611
1310,6,28,8,12,0.0606
591,3,4,2,2,0.0603
2558,16,16,8,12,0.06024
1045,5,10,4,3,0.05988
836,4,4,2,2,0.0596
8,1,1,3,3,0.05945
572,3,3,3,3,0.05914
618,3,6,2,2,0.05856
826,4,3,1,1,0.05713
2283,13,34,11,15,0.05713
817,4,2,1,1,0.05627
1540,8,6,4,3,0.0559
580,3,3,5,6,0.05554
2131,12,34,9,8,0.05554
944,5,1,4,3,0.05554
2225,13,13,5,6,0.05493
1989,11,11,9,8,0.05493
2897,22,4,1,4,0.0548
2647,17,34,9,8,0.05453
16,1,1,5,6,0.05435
2615,17,17,6,7,0.05405
32,1,2,4,3,0.0538
574,3,3,4,3,0.05347
2308,14,3,2,2,0.05334
2296,14,2,2,2,0.05334
3148,26,26,3,3,0.0532
670,3,10,2,2,0.05313
138,1,10,2,2,0.05264
1003,5,6,2,2,0.05264
3,1,1,2,2,0.05237
1175,6,4,2,2,0.05164
1595,8,10,4,3,0.0516
2486,15,15,4,3,0.05154
547,3,2,3,3,0.0514
646,3,8,2,2,0.0514
1890,10,23,2,2,0.0511
3246,28,6,8,12,0.05096
98,1,6,4,3,0.05075
742,3,19,1,1,0.05075
1481,8,2,5,6,0.0505
125,1,8,4,3,0.0505
131,1,8,5,6,0.0505
2899,22,5,1,4,0.05
143,1,10,3,3,0.05
2571,16,28,8,12,0.0495
1475,8,2,4,3,0.0495
30,1,2,3,3,0.04932
937,5,1,2,2,0.049
1503,8,3,5,6,0.049
81,1,5,4,3,0.04868
1836,10,10,3,3,0.04855
2284,14,1,2,2,0.04846
2906,22,23,1,4,0.0484
3267,28,16,8,12,0.04807
1419,7,23,6,7,0.0476
555,3,2,5,6,0.0476
659,3,8,5,6,0.0476
1300,6,27,2,2,0.04733
1459,8,1,5,6,0.04718
2901,22,19,1,1,0.04718
1453,8,1,4,3,0.04718
549,3,2,4,3,0.04672
523,3,1,3,3,0.04642
839,4,4,2,10,0.04636
967,5,3,2,2,0.0463
843,4,5,1,1,0.04623
2603,17,12,9,8,0.046
3055,24,24,7,9,0.04587
333,2,5,2,2,0.04565
2957,23,22,1,4,0.04544
1568,8,8,3,3,0.04544
54,1,3,4,3,0.04526
52,1,3,3,3,0.04526
2011,11,17,9,8,0.04504
2103,12,17,9,8,0.04495
910,4,23,1,4,0.04495
38,1,2,5,6,0.04483
982,5,4,2,2,0.04477
990,5,5,2,5,0.0446
991,5,5,2,10,0.0446
601,3,5,2,2,0.04443
1037,5,9,2,10,0.0443
845,4,5,2,2,0.0442
1435,7,32,9,8,0.04413
25,1,2,2,2,0.04407
2710,18,18,3,3,0.04395
3320,29,29,2,10,0.04395
676,3,10,3,3,0.0437
2254,13,23,6,7,0.0435
299,2,2,6,7,0.04324
1010,5,6,4,3,0.04324
2475,15,10,3,3,0.04315
2229,13,13,8,12,0.043
869,4,9,2,10,0.04294
952,5,2,2,2,0.0429
959,5,2,4,3,0.0429
1497,8,3,4,3,0.04285
3168,26,34,9,8,0.04285
828,4,3,2,2,0.04285
2022,11,23,6,7,0.04254
1181,6,5,2,2,0.04245
371,2,7,6,7,0.04233
118,1,8,2,2,0.04227
531,3,1,5,6,0.0422
525,3,1,4,3,0.0422
493,2,27,2,2,0.0421
2556,16,16,4,3,0.0421
2598,17,11,9,8,0.04202
974,5,3,4,3,0.04166
653,3,8,4,3,0.04147
1674,8,27,2,2,0.0414
60,1,3,5,6,0.04114
47,1,3,2,2,0.04114
1913,10,27,2,2,0.0411
852,4,6,2,2,0.04092
389,2,8,6,7,0.04062
2275,13,32,9,8,0.04053
424,2,13,6,7,0.04
993,5,5,3,3,0.04
416,2,11,6,7,0.0398
838,4,4,2,5,0.03973
3123,26,12,9,8,0.0392
1027,5,8,4,3,0.03903
91,1,6,2,2,0.03903
819,4,2,2,2,0.03897
568,3,3,2,5,0.03888
570,3,3,2,10,0.03888
848,4,5,2,10,0.03888
2922,23,4,1,4,0.03888
678,3,10,4,3,0.03885
2902,22,19,1,4,0.03845
1593,8,10,3,3,0.03845
1523,8,5,4,3,0.03827
907,4,22,1,1,0.03818
2551,16,14,8,12,0.03818
2149,13,2,6,7,0.0381
1858,10,14,2,2,0.03796
1843,10,10,6,7,0.03775
2320,14,4,2,2,0.03738
608,3,5,4,3,0.0372
2027,11,26,9,8,0.03705
2607,17,13,6,7,0.03705
318,2,3,6,7,0.03705
2160,13,3,6,7,0.03687
1776,10,4,2,2,0.03683
1831,10,10,2,5,0.03668
466,2,23,2,2,0.03665
331,2,5,1,1,0.03653
1328,7,2,6,7,0.03653
1404,7,17,6,7,0.03638
1038,5,10,2,2,0.03638
3118,26,11,9,8,0.03622
1222,6,9,2,10,0.03622
1194,6,6,2,10,0.03622
1192,6,6,2,5,0.03622
703,3,14,2,2,0.0362
811,4,1,2,2,0.03613
1336,7,3,6,7,0.03604
2009,11,17,6,7,0.03604
2476,15,10,4,3,0.03598
1620,8,14,2,2,0.0357
2641,17,32,6,7,0.0357
2925,23,5,1,4,0.0357
2357,14,10,2,2,0.0357
2111,12,26,9,8,0.0354
3307,29,9,2,10,0.0354
1830,10,10,2,3,0.0354
877,4,14,2,2,0.03534
784,3,27,2,2,0.03525
594,3,4,2,10,0.0352
593,3,4,2,5,0.0352
668,3,9,2,10,0.0352
2377,14,14,2,10,0.0351
2081,12,12,5,15,0.0351
1560,8,8,1,1,0.03497
984,5,4,2,5,0.03482
985,5,4,2,10,0.03482
2265,13,28,8,12,0.0348
3029,24,15,7,9,0.03473
2393,14,16,8,12,0.03473
2186,13,8,5,6,0.03473
1374,7,10,6,7,0.03473
2242,13,17,6,7,0.0345
939,5,1,2,5,0.0345
2488,15,15,8,12,0.0345
2193,13,8,11,15,0.0345
940,5,1,2,10,0.0345
2083,12,12,8,12,0.0345
2080,12,12,5,6,0.0345
2896,22,4,1,1,0.03424
1936,11,2,6,7,0.03418
1943,11,3,6,7,0.03406
626,3,6,4,3,0.03406
1055,5,14,2,2,0.0339
1266,6,16,8,12,0.03378
2637,17,29,9,8,0.03372
2596,17,11,6,7,0.0336
1512,8,4,2,2,0.03333
847,4,5,2,5,0.03333
831,4,3,2,10,0.03333
2200,13,10,6,7,0.0331
2074,12,8,11,15,0.0331
3053,24,24,3,3,0.03305
3277,28,25,8,12,0.03305
282,2,2,1,4,0.03278
1601,8,10,5,6,0.03268
1615,8,13,5,6,0.03268
2230,13,13,9,8,0.03262
599,3,5,1,1,0.03256
2495,15,18,3,3,0.03253
231,1,26,3,3,0.03244
970,5,3,2,10,0.0324
969,5,3,2,5,0.0324
2584,17,7,6,7,0.03226
2119,12,29,9,8,0.03226
900,4,19,1,4,0.03226
321,2,4,1,4,0.03207
178,1,15,3,3,0.03207
1979,11,10,6,7,0.03204
1611,8,12,11,15,0.032
2964,23,23,6,7,0.03192
2771,19,19,3,3,0.03192
2702,18,15,3,3,0.03174
2241,13,16,8,12,0.03174
1582,8,8,11,15,0.03174
2082,12,12,6,7,0.03174
462,2,22,1,1,0.03165
3084,25,24,7,9,0.03143
463,2,22,1,4,0.03143
2343,14,8,2,2,0.0314
1353,7,7,9,8,0.03125
1713,9,9,2,5,0.03125
1201,6,6,7,9,0.03125
2555,16,16,3,3,0.03125
604,3,5,2,10,0.03111
603,3,5,2,5,0.03111
2539,16,6,8,12,0.03105
2490,15,16,4,3,0.031
2550,16,13,8,12,0.031
2216,13,12,9,8,0.03093
3326,30,30,7,9,0.03076
3285,28,28,8,13,0.03076
1196,6,6,3,3,0.0303
123,1,8,3,3,0.0303
942,5,1,3,3,0.0303
3048,24,24,2,2,0.0303
1782,10,5,2,2,0.0303
3060,24,25,7,9,0.0303
3259,28,13,8,12,0.03008
2553,16,15,4,3,0.03008
216,1,24,3,3,0.03
2868,21,21,3,3,0.03
1895,10,23,6,7,0.02985
2408,14,27,2,2,0.02975
1043,5,10,3,3,0.02975
1473,8,2,3,3,0.02971
2236,13,14,8,12,0.02963
186,1,16,3,3,0.02959
1433,7,32,6,7,0.02942
1841,10,10,5,6,0.02942
2695,18,10,3,3,0.02942
1114,5,27,2,2,0.02924
1220,6,9,2,2,0.02899
2567,16,25,8,12,0.02899
2326,14,5,2,2,0.02884
1384,7,11,9,8,0.02884
521,3,1,2,10,0.02881
519,3,1,2,5,0.02881
1692,8,29,11,15,0.02878
1065,5,15,3,3,0.02873
1066,5,15,4,3,0.02873
1495,8,3,3,3,0.0287
2152,13,2,11,15,0.0287
1835,10,10,3,2,0.02856
830,4,3,2,5,0.02856
1451,8,1,3,3,0.0283
2608,17,13,9,8,0.0283
2054,12,2,11,15,0.0283
814,4,1,2,10,0.02823
3274,28,24,8,12,0.02817
3044,24,21,3,3,0.02817
2438,15,2,3,3,0.02803
151,1,10,5,6,0.02794
606,3,5,3,3,0.02791
2431,15,1,3,3,0.02777
401,2,10,3,3,0.02777
2521,15,28,8,12,0.02777
1097,5,24,3,3,0.02777
651,3,8,3,3,0.02777
778,3,26,3,3,0.02777
2266,13,29,5,6,0.02777
972,5,3,3,3,0.02777
1258,6,15,7,9,0.02759
2269,13,29,9,8,0.02753
291,2,2,3,3,0.02747
293,2,2,4,3,0.02747
3162,26,32,6,7,0.0274
718,3,15,3,3,0.0274
2761,19,12,11,15,0.0274
332,2,5,1,4,0.0274
2445,15,3,3,3,0.02727
1406,7,17,9,8,0.02727
409,2,10,6,7,0.02718
286,2,2,2,5,0.02702
3065,24,26,3,3,0.02702
586,3,3,11,15,0.02689
2259,13,25,8,12,0.02684
1810,10,7,6,7,0.02684
3158,26,29,9,8,0.02678
179,1,15,4,3,0.02673
564,3,3,1,4,0.02673
325,2,4,2,5,0.02673
2547,16,10,4,3,0.02667
2457,15,5,4,3,0.0266
2456,15,5,3,3,0.0266
79,1,5,3,3,0.02655
2371,14,13,8,12,0.02649
589,3,4,1,4,0.02646
806,3,29,11,15,0.02646
870,4,10,2,2,0.02646
2280,13,34,9,8,0.02632
1857,10,13,6,7,0.02632
1850,10,11,6,7,0.02632
1005,5,6,2,5,0.02632
1006,5,6,2,10,0.02632
764,3,24,3,3,0.02632
2243,13,17,9,8,0.02632
2274,13,32,6,7,0.02632
694,3,12,11,15,0.02605
1619,8,13,11,15,0.02597
251,1,28,8,12,0.02597
818,4,2,1,4,0.02597
928,4,27,2,2,0.02591
2222,13,13,2,2,0.02586
2092,12,13,9,8,0.02586
957,5,2,3,3,0.02576
2506,15,24,3,3,0.02563
1715,9,9,7,9,0.02563
2100,12,14,11,15,0.02563
2590,17,8,6,7,0.02563
2775,19,19,11,15,0.02563
160,1,13,5,6,0.02551
2507,15,24,4,3,0.02548
1981,11,11,2,2,0.02542
96,1,6,3,3,0.02538
2564,16,24,4,3,0.02531
2036,11,32,6,7,0.02531
1036,5,9,2,5,0.02531
1035,5,9,2,2,0.02516
1680,8,27,4,3,0.02516
2356,14,9,2,10,0.02516
2491,15,16,8,12,0.025
1958,11,7,9,8,0.025
2354,14,9,2,2,0.025
2774,19,19,8,12,0.025
1129,5,29,2,10,0.02484
1538,8,6,3,3,0.02484
2554,16,15,8,12,0.0248
372,2,8,1,1,0.02475
2892,22,2,1,1,0.02475
2893,22,2,1,4,0.02475
3146,26,24,3,3,0.02469
1242,6,13,8,12,0.02469
1509,8,4,1,1,0.02463
1465,8,2,1,1,0.02463
2781,19,26,3,3,0.0246
2898,22,5,1,1,0.02454
3012,24,10,2,2,0.02454
868,4,9,2,5,0.02454
198,1,18,3,3,0.02438
867,4,9,2,2,0.02438
2760,19,12,8,12,0.02438
383,2,8,4,3,0.02428
683,3,10,5,6,0.02428
1040,5,10,2,5,0.02425
1295,6,25,8,12,0.02425
1824,10,8,6,7,0.02425
2586,17,7,9,8,0.0242
813,4,1,2,5,0.0242
1424,7,26,9,8,0.0242
