,7nn0_A_fpocket,7nn0_B_fpocket,7nn0_C_fpocket,7nn0_D_fpocket,7nn0_A_p2rank,7nn0_B_p2rank,7nn0_C_p2rank,7nn0_D_p2rank,IoMIN
167,1,1,1,27,1,1,1,1,0.05884
144,1,1,1,23,1,1,1,1,0.05884
100,1,1,1,11,1,1,1,1,0.05884
104,1,1,1,14,1,1,1,1,0.05884
92,1,1,1,10,2,2,3,2,0.0909
58,1,1,1,6,2,2,3,2,0.0909
158,1,1,1,26,2,2,2,2,0.0909
115,1,1,1,15,2,2,2,2,0.0909
117,1,1,1,15,2,2,3,2,0.0909
34,1,1,1,4,2,2,2,2,0.0909
36,1,1,1,4,2,2,3,2,0.0909
69,1,1,1,7,2,2,3,2,0.0909
67,1,1,1,7,2,2,2,2,0.0909
25,1,1,1,3,2,2,3,2,0.0909
145,1,1,1,23,2,2,2,2,0.0909
45,1,1,1,5,2,2,2,2,0.0909
47,1,1,1,5,2,2,3,2,0.0909
123,1,1,1,16,2,2,2,2,0.0909
134,1,1,1,17,2,2,3,2,0.0909
125,1,1,1,16,2,2,3,2,0.0909
132,1,1,1,17,2,2,2,2,0.0909
147,1,1,1,23,2,2,3,2,0.0909
77,1,1,1,8,2,2,2,2,0.0909
160,1,1,1,26,2,2,3,2,0.0909
105,1,1,1,14,2,2,2,2,0.0909
1,1,1,1,1,2,2,2,2,0.0909
90,1,1,1,10,2,2,2,2,0.0909
3,1,1,1,1,2,2,3,2,0.0909
179,1,1,1,29,2,2,3,2,0.0909
177,1,1,1,29,2,2,2,2,0.0909
23,1,1,1,3,2,2,2,2,0.0909
12,1,1,1,2,2,2,2,2,0.0909
14,1,1,1,2,2,2,3,2,0.0909
107,1,1,1,14,2,2,3,2,0.0909
56,1,1,1,6,2,2,2,2,0.0909
79,1,1,1,8,2,2,3,2,0.0909
168,1,1,1,27,2,2,2,2,0.0909
170,1,1,1,27,2,2,3,2,0.0909
118,1,1,1,15,2,2,3,4,0.1
127,1,1,1,16,3,2,2,2,0.1
126,1,1,1,16,2,2,3,4,0.1
111,1,1,1,14,6,2,2,4,0.1
112,1,1,1,14,6,2,3,2,0.1
124,1,1,1,16,2,2,2,4,0.1
96,1,1,1,10,6,2,2,4,0.1
97,1,1,1,10,6,2,3,2,0.1
109,1,1,1,14,3,2,2,2,0.1
121,1,1,1,15,6,2,3,2,0.1
120,1,1,1,15,6,2,2,4,0.1
98,1,1,1,10,6,2,3,4,0.1
113,1,1,1,14,6,2,3,4,0.1
108,1,1,1,14,2,2,3,4,0.1
119,1,1,1,15,6,2,2,2,0.1
106,1,1,1,14,2,2,2,4,0.1
116,1,1,1,15,2,2,2,4,0.1
122,1,1,1,15,6,2,3,4,0.1
110,1,1,1,14,6,2,2,2,0.1
137,1,1,1,17,6,2,2,4,0.1
129,1,1,1,16,6,2,2,4,0.1
163,1,1,1,26,6,2,2,2,0.1
164,1,1,1,26,6,2,2,4,0.1
165,1,1,1,26,6,2,3,2,0.1
166,1,1,1,26,6,2,3,4,0.1
169,1,1,1,27,2,2,2,4,0.1
171,1,1,1,27,2,2,3,4,0.1
162,1,1,1,26,3,2,2,2,0.1
172,1,1,1,27,6,2,2,2,0.1
174,1,1,1,27,6,2,3,2,0.1
175,1,1,1,27,6,2,3,4,0.1
178,1,1,1,29,2,2,2,4,0.1
180,1,1,1,29,2,2,3,4,0.1
181,1,1,1,29,6,2,2,2,0.1
182,1,1,1,29,6,2,2,4,0.1
173,1,1,1,27,6,2,2,4,0.1
128,1,1,1,16,6,2,2,2,0.1
161,1,1,1,26,2,2,3,4,0.1
155,1,1,1,24,3,2,2,2,0.1
