,7nn0_A_fpocket,7nn0_B_fpocket,7nn0_C_fpocket,7nn0_D_fpocket,7nn0_A_p2rank,7nn0_B_p2rank,7nn0_C_p2rank,7nn0_D_p2rank,IoU
0,1,1,1,1,1,1,1,1,0.03143
22,1,1,1,3,1,1,1,1,0.03049
33,1,1,1,4,1,1,1,1,0.02882
11,1,1,1,2,1,1,1,1,0.02849
44,1,1,1,5,1,1,1,1,0.02695
76,1,1,1,8,1,1,1,1,0.02667
89,1,1,1,10,1,1,1,1,0.02493
102,1,1,1,13,1,1,1,1,0.02368
140,1,1,1,19,1,1,1,1,0.0218
66,1,1,1,7,1,1,1,1,0.01862
55,1,1,1,6,1,1,1,1,0.01675
142,1,1,1,22,1,1,1,1,0.013664
87,1,1,1,9,1,1,1,1,0.01312
157,1,1,1,26,1,1,1,1,0.007336
154,1,1,1,24,1,1,1,1,0.00518
176,1,1,1,29,1,1,1,1,0.005116
101,1,1,1,12,1,1,1,1,0.00504
114,1,1,1,15,1,1,1,1,0.00483
5,1,1,1,1,3,2,2,2,0.003145
4,1,1,1,1,2,2,3,4,0.003145
8,1,1,1,1,6,2,3,2,0.003145
3,1,1,1,1,2,2,3,2,0.003145
7,1,1,1,1,6,2,2,4,0.003145
1,1,1,1,1,2,2,2,2,0.003145
2,1,1,1,1,2,2,2,4,0.003145
6,1,1,1,1,6,2,2,2,0.003145
10,1,1,1,1,8,1,1,1,0.003145
9,1,1,1,1,6,2,3,4,0.003145
31,1,1,1,3,6,2,3,4,0.003048
32,1,1,1,3,8,1,1,1,0.003048
27,1,1,1,3,3,2,2,2,0.003048
30,1,1,1,3,6,2,3,2,0.003048
29,1,1,1,3,6,2,2,4,0.003048
23,1,1,1,3,2,2,2,2,0.003048
24,1,1,1,3,2,2,2,4,0.003048
25,1,1,1,3,2,2,3,2,0.003048
26,1,1,1,3,2,2,3,4,0.003048
28,1,1,1,3,6,2,2,2,0.003048
54,1,1,1,5,8,1,1,1,0.002995
53,1,1,1,5,6,2,3,4,0.002995
52,1,1,1,5,6,2,3,2,0.002995
51,1,1,1,5,6,2,2,4,0.002995
50,1,1,1,5,6,2,2,2,0.002995
48,1,1,1,5,2,2,3,4,0.002995
49,1,1,1,5,3,2,2,2,0.002995
45,1,1,1,5,2,2,2,2,0.002995
46,1,1,1,5,2,2,2,4,0.002995
47,1,1,1,5,2,2,3,2,0.002995
42,1,1,1,4,6,2,3,4,0.002882
43,1,1,1,4,8,1,1,1,0.002882
