Score,smiles
-7.618,O=C(c1snnc1-c1ccccc1)N1CCOCC1
-7.767,CC1(C)OC(=O)CC1C(=O)N1CCCCC1c1ccccn1
-8.686,CC1(C)OC(=O)CC1C(=O)NCCn1ccnc1-c1ccccc1
-7.947,Cc1ccc(C(C)C)c(OCCNC(=O)C2CC(=O)OC2(C)C)c1
-8.951,CC1(C)CC(NC(=O)Cn2ccc3c(NS(C)(=O)=O)cccc32)CC(C)(C)N1
-7.895,CCN1CCCC1CNC(=O)Cn1ccc2c(NC(C)=O)cccc21
-7.8,O=C(CC(Cn1cccc1)c1ccc(Cl)cc1)NCC1CCOCC1
-7.914,Oc1cc(C(O)N2CCCC2)cn1-c1[nH]nc2ccccc12
-8.254,COc1ccc(CCn2c(O)c(CCC(=O)NCc3cccn3C)[nH]c2=O)cc1
-8.679,COc1ccc(Cn2c(O)c(CCC(=O)NCCc3ccc(O)cc3)[nH]c2=O)cc1OC
-8.469,CC(C)CNC(=O)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1
-9.079,O=C(NCc1ccccc1)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1
-9.7,CC(=O)Nc1ccc(NC(=O)C2CCN(C(O)c3cc(O)n(-c4ccccc4)c3)CC2)cc1
-9.624,O=C(NCCn1cnc2ccccc2c1=O)NC[C@@H]1CCCN2CCCC[C@H]12
-7.417,O=C(NC1CC1)c1cc2occc2n1Cc1ccccc1
-7.727,O=C(NCCO)c1cc2occc2n1Cc1ccccc1F
-9.467,COc1c2c(c(CNC(=O)CCc3[nH]c(=O)n(Cc4ccc5c(c4)OCO5)c3O)c3c1OCO3)CCN(C)C2
-6.756,CN(C)C(CNC(=O)C(C)(C)C)c1ccc2c(c1)OCO2
-8.145,CN(C)C(CNC(=O)c1ccccc1F)c1ccc2c(c1)OCO2
-8.151,CN(C)C(CNC(=O)c1cccc(F)c1)c1ccc2c(c1)OCO2
-8.087,CN(C)C(CNC(=O)c1ccccc1Br)c1ccc2c(c1)OCO2
-8.084,COc1ccccc1C(=O)NCC(c1ccc2c(c1)OCO2)N(C)C
-8.173,CN(C)C(CNC(=O)c1ccccc1Cl)c1ccc2c(c1)OCO2
-7.444,CC(C)C(=O)NCC(c1ccc2c(c1)OCO2)N1CCOCC1
-8.466,COc1ccc(S(=O)(=O)NCC(c2ccc3c(c2)OCO3)N2CCOCC2)cc1OC
-7.762,CC(C)NC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1
-7.543,CC(C)CCNC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1
-6.981,COc1cc(CC(N)=NO)c(OC)c2c1OCO2
-8.587,COc1cccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2CCCCO)c1
-7.848,O=C(CC1C(=O)OCCN1C1CCCCC1)Nc1ccccc1
-8.823,CC(=O)Nc1ccccc1Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C
-6.428,CCCCn1c(CCNC(=O)CCC)nc2ccccc21
-9.424,Cc1ccc(Cn2c(=O)c3ccc(C(=O)NC(C)C)cc3n3c(=O)[nH]nc23)cc1
-6.845,COCCNC(=O)CCc1nc2ccccc2[nH]c1=O
-7.557,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1nn(C(C)C)c(=O)c2ccccc12
-8.448,Cc1nc2c(c(C)c1CCC(=O)NCc1cccnc1)c(=O)n(C)c(=O)n2C
-7.672,CNC(=O)N1CC2(CCCCC2)CC1COCc1ccccc1
-8.301,O=C(Cn1ncc2ccsc2c1=O)NCCCN1CCN(C2CCCCC2)CC1
-7.791,CC(=O)Nc1ccc2c(c1)nc(CCNC(=O)c1ccco1)n2C
-8.127,Cc1nn(CCCC(=O)NCc2ccccc2)c(=O)c2cc3sccc3n12
-9.141,COc1cccc2c1cc1c(=O)n(CC(=O)N3CCCC3)nc(C)n12
-6.99,COCCCNC(=O)CCCN1C(=O)CSc2nc(C)cc(C)c21
-8.736,Cn1c2ccccc2c2cnn(CC(=O)NC3CCCC3)c(=O)c21
-8.72,CCC(C(=O)NCCCN1CCN(C)CC1)n1c2ccccc2c2cnn(C)c(=O)c21
-7.611,CCCc1cc(=O)n2nc(N(C)CC(=O)NCCN3CCCC3)sc2n1
-8.344,CCc1nn(CC(=O)NCc2cccs2)c(=O)c2cc3occc3n12
-6.73,COc1ccccc1C(CNC(=O)c1cccs1)N(C)C
-12.415,CC(C(=O)N1CCc2[nH]cnc(=O)c2CC1)c1ccccc1
-6.296,COCCNCc1ccc2c(c1)n(C)c(=O)n2C
-6.764,CCOc1ccc2c(c1)cc(C(=O)NC(C)C)n2C
-6.942,Cc1ccc(OCC(=O)NCC2(N(C)C)CCCCC2)cc1
-8.095,O=C(COc1ccccc1Cl)NCC1(N2CCOCC2)CCCCC1
-8.025,Cc1ccc(C(=O)NCC2(N3CCN(C)CC3)CCCCC2)cc1
-7.457,CCCNC(=O)NCc1cccn1Cc1cccc(C)c1
-11.818,Cc1cc(C(=O)NCCN2CCCCCC2)c2c(=O)n(C)c(=O)n(C)c2n1
-8.273,CC(C)NC(=O)CCc1nnc2ccc(=NCc3ccc(F)cc3)[nH]n12
-7.287,CCc1ccc(OCC(=O)NCC(c2cccs2)N2CCOCC2)cc1
-9.151,CC(=O)Cn1c(=O)c2c(nc3n2CCCN3c2cccc(C)c2C)n(C)c1=O
-8.435,CCOc1ccc(-n2ccn3c(CCCC(=O)NCC(C)C)nnc3c2=O)cc1
-8.966,Cc1ccc(C)c(NC(=O)Cn2nc3c(cc2=O)CC(C)CC3)c1
-7.346,COCCNC(=O)CSc1c(C(C)C)cnc2c1c(=O)n(C)c(=O)n2C
-8.657,O=C(NCC(c1ccc2c(c1)OCO2)N1CCOCC1)c1cccc(Cl)c1
-8.531,Cc1cc(=O)[nH]c2nnc(SCC(=O)N3CCCCC3)n12
-7.743,COc1cn(CC(=O)NCc2ccco2)c(CSc2ccc(C)cc2)cc1=O
-7.296,COCCNC(=O)C1(C)CCC(=O)N1Cc1cccc(Br)c1
-7.595,CCCCC(=O)NCc1nc2cccnc2n1Cc1cccc(OC)c1
-7.974,CCCCNC(=O)CCc1c(C)n(C)c2cc(-c3cc(OC)c(OC)c(OC)c3)nn2c1=O
-7.583,CCc1cc(C2CCCN2Cc2ccc(OC)c(OC)c2OC)on1
-8.032,O=C(Cn1nc2c(cc1=O)CCCC2)NCCn1ccc2ccccc21
-7.92,CN1CCN(CCCNC(=O)c2ccc(N=C3NC4CS(=O)(=O)CC4S3)cc2)CC1
-8.131,CC(=O)NCCn1c(SCC(=O)NCc2ccco2)nc2ccccc2c1=O
-8.069,CCN1CCN(C(=O)Cc2c(C)nc3nc(-c4cccs4)nn3c2C)CC1
-8.811,Cc1ccc(N(C)C(=O)Cn2ccc3c(=O)n(C)c(=O)n(C)c32)cc1C
-7.762,CCN(CC)CCNC(=O)CCC(=O)N1CCc2c(c(C(=O)N3CCCC3)nn2C)C1
-8.657,COc1ccc(C(=O)N2CC(=O)N(CCc3ccccc3)C(=O)C2)cc1OC
-7.822,CCC(=O)NCc1ccc2c(c1)N(C(=O)c1ccc(C)cc1)CC2
-8.931,COc1ccccc1C(=O)N1CCc2c(c(-c3nnc(SC)n3C)nn2C)C1
-8.261,CCC(C)NC(=O)CSc1nnc2n(CCC(=O)NC(C)C)c(=O)c3ccccc3n12
