,Molecule,Score,admet_smiles
0,EOS28,-7.609,O=C(c1snnc1-c1ccccc1)N1CCOCC1
1,EOS34,-7.725,CC1(C)OC(=O)CC1C(=O)N1CCCCC1c1ccccn1
2,EOS36,-8.362,CC1(C)OC(=O)CC1C(=O)NCCn1ccnc1-c1ccccc1
3,EOS37,-7.84,Cc1ccc(C(C)C)c(OCCNC(=O)C2CC(=O)OC2(C)C)c1
4,EOS46,-8.13,CC1(C)CC(NC(=O)Cn2ccc3c(NS(C)(=O)=O)cccc32)CC(C)(C)N1
5,EOS51,-7.533,CCN1CCCC1CNC(=O)Cn1ccc2c(NC(C)=O)cccc21
6,EOS83,-7.698,O=C(CC(Cn1cccc1)c1ccc(Cl)cc1)NCC1CCOCC1
7,EOS85,-7.924,Oc1cc(C(O)N2CCCC2)cn1-c1[nH]nc2ccccc12
8,EOS102,-7.648,COc1ccc(CCn2c(O)c(CCC(=O)NCc3cccn3C)[nH]c2=O)cc1
9,EOS117,-8.018,COc1ccc(Cn2c(O)c(CCC(=O)NCCc3ccc(O)cc3)[nH]c2=O)cc1OC
10,EOS187,-8.272,CC(C)CNC(=O)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1
11,EOS188,-9.018,O=C(NCc1ccccc1)C1CCN(C(O)c2cc(O)n(-c3ccccc3)c2)CC1
12,EOS189,-8.623,CC(=O)Nc1ccc(NC(=O)C2CCN(C(O)c3cc(O)n(-c4ccccc4)c3)CC2)cc1
13,EOS135,-8.891,O=C(NCCn1cnc2ccccc2c1=O)NC[C@@H]1CCCN2CCCC[C@H]12
14,EOS235,-7.378,O=C(NC1CC1)c1cc2occc2n1Cc1ccccc1
15,EOS238,-7.21,O=C(NCCO)c1cc2occc2n1Cc1ccccc1F
16,EOS143,-8.96,COc1c2c(c(CNC(=O)CCc3[nH]c(=O)n(Cc4ccc5c(c4)OCO5)c3O)c3c1OCO3)CCN(C)C2
17,EOS328,-6.697,CN(C)C(CNC(=O)C(C)(C)C)c1ccc2c(c1)OCO2
18,EOS329,-7.743,CN(C)C(CNC(=O)c1ccccc1F)c1ccc2c(c1)OCO2
19,EOS330,-8.072,CN(C)C(CNC(=O)c1cccc(F)c1)c1ccc2c(c1)OCO2
20,EOS331,-7.656,CN(C)C(CNC(=O)c1ccccc1Br)c1ccc2c(c1)OCO2
21,EOS332,-7.604,COc1ccccc1C(=O)NCC(c1ccc2c(c1)OCO2)N(C)C
22,EOS333,-8.232,CN(C)C(CNC(=O)c1ccccc1Cl)c1ccc2c(c1)OCO2
23,EOS337,-7.469,CC(C)C(=O)NCC(c1ccc2c(c1)OCO2)N1CCOCC1
24,EOS338,-7.443,COc1ccc(S(=O)(=O)NCC(c2ccc3c(c2)OCO3)N2CCOCC2)cc1OC
25,EOS342,-7.36,CC(C)NC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1
26,EOS343,-7.039,CC(C)CCNC(=O)CNC(O)c1cc(O)n(-c2ccccc2)c1
27,EOS376,-6.597,COc1cc(CC(N)=NO)c(OC)c2c1OCO2
28,EOS356,-8.475,COc1cccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2CCCCO)c1
29,EOS388,-7.807,O=C(CC1C(=O)OCCN1C1CCCCC1)Nc1ccccc1
30,EOS456,-8.789,CC(=O)Nc1ccccc1Sc1nc2c(c(=O)n(C)c(=O)n2C)n1C
31,EOS413,-6.245,CCCCn1c(CCNC(=O)CCC)nc2ccccc21
32,EOS421,-8.178,Cc1ccc(Cn2c(=O)c3ccc(C(=O)NC(C)C)cc3n3c(=O)[nH]nc23)cc1
33,EOS425,-7.131,COCCNC(=O)CCc1nc2ccccc2[nH]c1=O
34,EOS171,-7.894,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1nn(C(C)C)c(=O)c2ccccc12
35,EOS488,-8.582,Cc1nc2c(c(C)c1CCC(=O)NCc1cccnc1)c(=O)n(C)c(=O)n2C
36,EOS556,-7.427,CNC(=O)N1CC2(CCCCC2)CC1COCc1ccccc1
37,EOS512,-7.842,O=C(Cn1ncc2ccsc2c1=O)NCCCN1CCN(C2CCCCC2)CC1
38,EOS566,-7.894,CC(=O)Nc1ccc2c(c1)nc(CCNC(=O)c1ccco1)n2C
39,EOS527,-8.076,Cc1nn(CCCC(=O)NCc2ccccc2)c(=O)c2cc3sccc3n12
40,EOS528,-8.596,COc1cccc2c1cc1c(=O)n(CC(=O)N3CCCC3)nc(C)n12
41,EOS533,-7.046,COCCCNC(=O)CCCN1C(=O)CSc2nc(C)cc(C)c21
42,EOS534,-8.757,Cn1c2ccccc2c2cnn(CC(=O)NC3CCCC3)c(=O)c21
43,EOS537,-8.736,CCC(C(=O)NCCCN1CCN(C)CC1)n1c2ccccc2c2cnn(C)c(=O)c21
44,EOS538,-7.347,CCCc1cc(=O)n2nc(N(C)CC(=O)NCCN3CCCC3)sc2n1
45,EOS540,-8.005,CCc1nn(CC(=O)NCc2cccs2)c(=O)c2cc3occc3n12
46,EOS597,-6.808,COc1ccccc1C(CNC(=O)c1cccs1)N(C)C
47,EOS546,-12.673,CC(C(=O)N1CCc2[nH]cnc(=O)c2CC1)c1ccccc1
48,EOS611,-6.416,COCCNCc1ccc2c(c1)n(C)c(=O)n2C
49,EOS615,-6.285,CCOc1ccc2c(c1)cc(C(=O)NC(C)C)n2C
50,EOS628,-6.783,Cc1ccc(OCC(=O)NCC2(N(C)C)CCCCC2)cc1
51,EOS629,-8.08,O=C(COc1ccccc1Cl)NCC1(N2CCOCC2)CCCCC1
52,EOS630,-7.954,Cc1ccc(C(=O)NCC2(N3CCN(C)CC3)CCCCC2)cc1
53,EOS763,-7.448,CCCNC(=O)NCc1cccn1Cc1cccc(C)c1
54,EOS781,-11.589,Cc1cc(C(=O)NCCN2CCCCCC2)c2c(=O)n(C)c(=O)n(C)c2n1
55,EOS785,-7.763,CC(C)NC(=O)CCc1nnc2ccc(=NCc3ccc(F)cc3)[nH]n12
56,EOS660,-7.404,CCc1ccc(OCC(=O)NCC(c2cccs2)N2CCOCC2)cc1
57,EOS663,-8.8,CC(=O)Cn1c(=O)c2c(nc3n2CCCN3c2cccc(C)c2C)n(C)c1=O
58,EOS805,-7.658,CCOc1ccc(-n2ccn3c(CCCC(=O)NCC(C)C)nnc3c2=O)cc1
59,EOS916,-8.97,Cc1ccc(C)c(NC(=O)Cn2nc3c(cc2=O)CC(C)CC3)c1
60,EOS880,-6.533,COCCNC(=O)CSc1c(C(C)C)cnc2c1c(=O)n(C)c(=O)n2C
61,EOS930,-8.12,O=C(NCC(c1ccc2c(c1)OCO2)N1CCOCC1)c1cccc(Cl)c1
62,EOS935,-8.337,Cc1cc(=O)[nH]c2nnc(SCC(=O)N3CCCCC3)n12
63,EOS946,-7.433,COc1cn(CC(=O)NCc2ccco2)c(CSc2ccc(C)cc2)cc1=O
64,EOS957,-7.015,COCCNC(=O)C1(C)CCC(=O)N1Cc1cccc(Br)c1
65,EOS914,-7.235,CCCCC(=O)NCc1nc2cccnc2n1Cc1cccc(OC)c1
66,EOS915,-7.756,CCCCNC(=O)CCc1c(C)n(C)c2cc(-c3cc(OC)c(OC)c(OC)c3)nn2c1=O
67,EOS978,-7.598,CCc1cc(C2CCCN2Cc2ccc(OC)c(OC)c2OC)on1
68,EOS1013,-8.683,O=C(Cn1nc2c(cc1=O)CCCC2)NCCn1ccc2ccccc21
69,EOS1022,-7.755,CN1CCN(CCCNC(=O)c2ccc(N=C3NC4CS(=O)(=O)CC4S3)cc2)CC1
70,EOS1028,-8.234,CC(=O)NCCn1c(SCC(=O)NCc2ccco2)nc2ccccc2c1=O
71,EOS691,-7.845,CCN1CCN(C(=O)Cc2c(C)nc3nc(-c4cccs4)nn3c2C)CC1
72,EOS1102,-8.742,Cc1ccc(N(C)C(=O)Cn2ccc3c(=O)n(C)c(=O)n(C)c32)cc1C
73,EOS1119,-7.101,CCN(CC)CCNC(=O)CCC(=O)N1CCc2c(c(C(=O)N3CCCC3)nn2C)C1
74,EOS1049,-8.595,COc1ccc(C(=O)N2CC(=O)N(CCc3ccccc3)C(=O)C2)cc1OC
75,EOS1057,-8.39,CCC(=O)NCc1ccc2c(c1)N(C(=O)c1ccc(C)cc1)CC2
76,EOS1152,-8.735,COc1ccccc1C(=O)N1CCc2c(c(-c3nnc(SC)n3C)nn2C)C1
77,EOS1161,-8.744,CCC(C)NC(=O)CSc1nnc2n(CCC(=O)NC(C)C)c(=O)c3ccccc3n12
78,EOS1091,-7.664,CC(C)NC(=O)C1CCCN(c2cc(=O)n(C)c(=O)n2C)C1
79,EOS1188,-8.467,CC(=O)c1ccc(NC(=O)CCSc2nc3c(=O)n(C)c(=O)n(C)c3n2C)cc1
80,EOS720,-8.697,Cn1c(=O)c2cc(C(=O)N3CCC(c4ccccc4)C3)sc2n(C)c1=O
81,EOS1292,-8.241,COCc1cc(=O)n(CC(=O)NCc2ccc(C)cc2)c(N2CCOCC2)n1
82,EOS1297,-13.319,CCc1ccc(-c2cc3n(n2)CCCN(C(=O)Cn2cnc4c2c(=O)n(C)c(=O)n4C)C3)cc1
83,EOS1299,-12.24,COCCn1c(C)cc(C(=O)N2CCCC(c3cc4n(n3)CCCNC4=O)C2)c1C
84,EOS1212,-11.157,COCCOCC(=O)N1CCOc2ccc(C(=O)NCc3ccccc3)cc2C1
85,EOS1226,-7.01,CCOc1ccc(C(=O)N2CCc3[nH]cnc3C2)cc1
86,EOS1233,-7.005,CC(C)NC(=O)N1CCC(c2nc(CCNC(=O)C(C)C)cs2)CC1
87,EOS1239,-6.557,CC(C)CC(=O)N1CCCC(COc2ccc(C(=O)NC(C)C)cc2)C1
88,EOS1256,-7.173,CCCCN(C)C(=O)Cn1nc2cc(C)nc(-c3cccc(Cl)c3)n2c1=O
89,EOS1268,-6.957,CCC(=O)NCc1ccc(-n2cc(C)nc2CC)cc1
90,EOS1549,-11.093,Cc1nc(=O)c2c([nH]1)CCC(C(=O)NCc1ccsc1)CC2
91,EOS1557,-7.829,Cc1n[nH]c(C2CN(Cc3ccc(OC(C)C)cc3)C[C@H]2NC(=O)C2CCOCC2)n1
92,EOS1383,-8.417,CC(C)CNC(=O)N1CCCC(c2nn(C)c(=O)n2Cc2ccccc2)C1
93,EOS1508,-10.35,COCCCNC(=O)N1CC[C@@H]2[C@@H](COCCN2Cc2ccccc2)C1
94,EOS1386,-7.954,O=C(NCC1CCOCC1)c1cc(-c2ccccc2)[nH]n1
95,EOS1511,-11.196,CCCNC(=O)N1CCOC[C@H]2CN(C(=O)COCc3ccccc3)CC[C@H]21
