Molecule,Score
EOS21420,-7.811
EOS20718,-7.587
EOS21134,-7.97
EOS21135,-8.968
EOS21139,-6.741
EOS21433,-7.89
EOS21147,-7.821
EOS21150,-7.825
EOS21153,-7.517
EOS21454,-7.918
EOS21157,-7.68
EOS21168,-7.01
EOS21467,-7.481
EOS21471,-7.459
EOS21475,-6.538
EOS21479,-7.986
EOS21183,-7.664
EOS21192,-7.267
EOS21194,-7.901
EOS21197,-7.417
EOS21493,-11.344
EOS21497,-6.654
EOS21203,-7.1
EOS21498,-6.861
EOS21501,-7.911
EOS20744,-6.737
EOS21503,-8.03
EOS21504,-6.893
EOS21505,-7.524
EOS21508,-6.092
EOS21513,-8.015
EOS21220,-7.368
EOS21521,-5.496
EOS21523,-7.308
EOS21527,-6.164
EOS21233,-7.187
EOS21236,-8.217
EOS21241,-7.42
EOS21537,-5.951
EOS21540,-7.325
EOS20756,-11.406
EOS21248,-6.454
EOS21544,-6.803
EOS21546,-6.181
EOS20758,-7.902
EOS21548,-6.286
EOS20761,-7.334
EOS21263,-7.924
EOS21563,-7.928
EOS21270,-10.592
EOS21271,-8.304
EOS21572,-7.296
EOS21574,-6.827
EOS21585,-10.29
EOS21586,-7.836
EOS21295,-7.123
EOS21603,-8.306
EOS21610,-11.685
EOS21319,-9.207
EOS21320,-5.949
EOS20781,-7.518
EOS21322,-10.462
EOS20784,-7.234
EOS20788,-6.907
EOS21701,-8.621
EOS21634,-7.565
EOS21713,-7.775
EOS21645,-7.534
EOS21718,-7.823
EOS21731,-8.031
EOS21663,-6.878
EOS21665,-7.136
EOS21736,-7.71
EOS21670,-10.804
EOS21671,-7.7
EOS21672,-7.522
EOS21687,-11.883
EOS21768,-8.197
EOS21689,-7.909
EOS21692,-7.169
EOS20822,-8.568
EOS21780,-7.501
EOS22065,-7.411
EOS21787,-7.456
EOS20826,-7.256
EOS22076,-7.07
EOS21795,-7.683
EOS20830,-7.268
EOS22080,-6.785
EOS21799,-6.831
EOS22089,-7.823
EOS21808,-8.418
EOS21810,-6.84
EOS21811,-8.46
EOS21817,-7.486
EOS20840,-12.278
EOS21824,-7.984
EOS20842,-9.271
EOS22117,-7.752
EOS21832,-8.139
EOS22120,-7.033
EOS20846,-6.1
EOS22121,-8.354
EOS22126,-6.771
EOS20850,-11.87
EOS22135,-12.022
EOS22146,-7.236
EOS22147,-7.343
EOS21856,-7.446
EOS22150,-7.15
EOS21864,-6.887
EOS22169,-7.511
EOS22176,-6.298
EOS21881,-7.956
EOS22187,-7.495
EOS22188,-6.934
EOS20872,-6.337
EOS21905,-7.506
EOS21923,-7.032
EOS21931,-7.542
EOS20887,-7.265
EOS21939,-7.377
EOS22254,-7.227
EOS22256,-8.335
EOS22259,-6.611
EOS22260,-7.237
EOS21950,-6.96
EOS21952,-7.501
EOS21962,-8.428
EOS22277,-7.148
EOS20901,-7.759
EOS22295,-7.604
EOS22010,-6.695
EOS20916,-6.543
EOS22336,-10.711
EOS22341,-7.829
EOS22023,-7.576
EOS20920,-7.671
EOS22032,-6.665
EOS22357,-10.749
EOS22040,-7.437
EOS22042,-7.052
EOS22369,-8.633
EOS22371,-7.21
EOS22055,-6.926
EOS22382,-8.14
EOS20933,-6.534
EOS22425,-8.249
EOS20935,-7.179
EOS20938,-7.196
EOS22435,-7.47
EOS20939,-5.993
EOS20940,-6.121
EOS22408,-11.092
EOS22412,-7.323
EOS22451,-8.13
EOS22415,-7.346
EOS22457,-7.998
EOS22460,-7.459
EOS22424,-7.02
EOS22474,-7.134
EOS22479,-7.269
EOS22481,-8.057
EOS22810,-7.544
EOS22487,-5.61
EOS22825,-7.221
EOS22511,-8.445
EOS22519,-7.885
EOS22523,-6.771
EOS22526,-8.191
EOS22527,-7.72
EOS22835,-7.138
EOS22843,-8.031
EOS22847,-7.614
EOS22528,-6.469
EOS22530,-7.198
EOS22543,-7.662
EOS22548,-6.468
EOS22867,-7.722
EOS22564,-7.091
EOS22567,-7.893
EOS23172,-7.842
EOS22595,-11.446
EOS22604,-7.25
EOS22926,-6.845
EOS22927,-7.222
EOS22936,-6.888
EOS22937,-6.72
EOS22625,-8.485
EOS23193,-7.191
EOS22638,-7.691
EOS22976,-7.597
EOS22641,-8.347
EOS22985,-6.928
EOS22653,-7.802
EOS22996,-8.191
EOS23015,-8.152
EOS23212,-12.291
EOS23024,-7.601
EOS22693,-7.288
EOS23039,-7.743
EOS23040,-7.882
EOS22701,-7.853
EOS22713,-7.861
EOS22717,-6.957
EOS22722,-7.866
EOS22726,-7.2
EOS23068,-7.449
EOS23071,-8.385
EOS22737,-7.28
EOS23075,-8.663
EOS23229,-8.148
EOS23077,-7.931
EOS23078,-7.692
EOS22743,-6.798
EOS23092,-6.921
EOS23096,-7.539
EOS22762,-10.067
EOS22764,-7.062
EOS23104,-8.02
EOS23105,-6.978
EOS22768,-6.312
EOS23127,-6.829
EOS23135,-6.606
EOS23527,-7.014
EOS23142,-7.245
EOS23144,-7.012
EOS23539,-7.098
EOS23151,-9.472
EOS23256,-7.469
EOS23549,-8.97
EOS23257,-11.063
EOS23551,-7.492
EOS23891,-6.817
EOS23553,-6.573
EOS23892,-7.74
EOS23901,-7.934
EOS23902,-7.508
EOS23903,-6.676
EOS23905,-7.405
EOS23567,-5.703
EOS23263,-7.506
EOS23584,-10.785
EOS23586,-8.327
EOS23589,-10.709
EOS23929,-8.097
EOS23271,-7.854
EOS23596,-8.07
EOS23273,-7.972
EOS23605,-7.388
EOS23276,-7.69
EOS23958,-11.526
EOS23959,-7.427
EOS23282,-11.378
EOS23963,-8.75
EOS23634,-7.228
EOS23635,-7.433
EOS23973,-7.828
EOS23649,-6.083
EOS23981,-8.982
EOS23290,-6.323
EOS23652,-7.777
EOS23292,-11.31
EOS23997,-8.077
EOS23670,-7.975
EOS23676,-7.849
EOS23677,-12.26
EOS23680,-7.705
EOS23698,-7.209
EOS24026,-7.036
EOS24029,-7.14
EOS23710,-7.362
EOS23729,-6.977
EOS23322,-7.14
EOS24067,-7.08
EOS23745,-7.315
EOS24074,-6.832
EOS23756,-6.643
EOS24082,-6.589
EOS23758,-6.645
EOS24090,-7.306
EOS24093,-7.61
EOS23785,-7.261
EOS23786,-5.678
EOS23338,-5.52
EOS24117,-6.332
EOS24123,-6.866
EOS23804,-6.481
EOS24132,-7.51
EOS23347,-7.692
EOS23348,-6.083
EOS24139,-6.743
EOS23814,-6.099
EOS24150,-6.763
EOS23828,-7.703
EOS23357,-8.349
EOS24165,-11.592
EOS23360,-7.386
EOS23839,-6.995
EOS23361,-6.95
EOS23842,-7.144
EOS24176,-6.933
EOS23850,-9.36
EOS23855,-7.581
EOS23372,-7.537
EOS23868,-7.362
EOS23871,-6.473
EOS23875,-7.19
EOS24211,-7.71
EOS23880,-5.784
EOS24213,-7.365
EOS24215,-7.904
EOS23884,-8.472
EOS24238,-6.714
EOS24278,-6.09
EOS24286,-7.779
EOS24289,-8.27
EOS24628,-5.735
EOS24629,-7.049
EOS24301,-8.238
EOS23398,-7.801
EOS24631,-7.607
EOS23401,-6.546
EOS24642,-7.762
EOS24645,-7.343
EOS24321,-7.853
EOS24323,-8.014
EOS23408,-10.767
EOS24332,-11.238
EOS24661,-8.792
EOS24669,-6.731
EOS24671,-6.813
EOS24673,-7.786
EOS24679,-6.518
EOS24360,-6.108
EOS23419,-8.492
EOS24687,-6.706
EOS24364,-8.585
EOS23422,-7.113
EOS24698,-7.267
EOS24700,-12.626
EOS24379,-6.692
EOS24383,-7.085
EOS24386,-8.029
EOS24710,-6.989
EOS23433,-8.506
EOS24730,-7.893
EOS24732,-7.586
EOS24735,-8.012
EOS24415,-8.959
EOS23441,-7.459
EOS24427,-10.45
EOS24451,-7.203
EOS24453,-7.383
EOS24454,-7.288
EOS24455,-7.158
EOS24776,-7.353
EOS24779,-9.111
EOS24780,-6.635
EOS24461,-7.971
EOS24789,-6.632
EOS23460,-7.665
EOS24474,-7.008
EOS23465,-7.729
EOS23467,-7.268
EOS23471,-7.277
EOS23472,-7.169
EOS24484,-6.133
EOS24816,-7.065
EOS24494,-7.656
EOS24501,-6.572
EOS24536,-6.205
EOS24537,-6.952
EOS23493,-7.283
EOS24544,-6.073
EOS24873,-5.897
EOS24875,-5.98
EOS23497,-7.402
EOS23498,-6.955
EOS24888,-6.001
EOS23503,-6.708
EOS24895,-6.403
EOS24569,-6.68
EOS24900,-7.134
EOS24902,-6.4
EOS23507,-8.618
EOS24904,-6.799
EOS24906,-7.309
EOS24908,-6.953
EOS24578,-6.782
EOS24909,-7.034
EOS23510,-7.215
EOS24585,-7.457
EOS24917,-6.807
EOS24586,-6.884
EOS24921,-6.072
EOS24590,-6.917
EOS24592,-6.89
EOS24595,-6.453
EOS24932,-7.467
EOS24600,-7.269
EOS24947,-7.89
EOS24953,-8.399
EOS25358,-7.111
EOS24968,-8.201
EOS24969,-7.119
EOS25367,-6.675
EOS25377,-6.876
EOS25378,-6.896
EOS25382,-8.816
EOS25388,-6.468
EOS25003,-7.182
EOS25406,-7.478
EOS25743,-11.816
EOS25745,-7.161
EOS25008,-7.689
EOS25754,-8.434
EOS25756,-5.688
EOS25759,-5.95
EOS25422,-6.272
EOS25762,-6.803
EOS25011,-7.215
EOS25425,-6.768
EOS25012,-7.149
EOS25766,-6.175
EOS25770,-7.408
EOS25433,-7.225
EOS25015,-7.022
EOS25776,-6.825
EOS25778,-7.38
EOS25443,-6.76
EOS25448,-6.88
EOS25449,-5.551
EOS25452,-7.139
EOS25795,-8.041
EOS25800,-7.757
EOS25805,-6.426
EOS25806,-7.328
EOS25811,-8.674
EOS25028,-7.461
EOS25476,-7.991
EOS25815,-8.025
EOS25029,-4.998
EOS25479,-7.098
EOS25829,-6.977
EOS25500,-7.203
EOS25832,-7.914
EOS25834,-7.26
EOS25507,-7.858
EOS25843,-7.764
EOS25845,-7.749
EOS25513,-7.606
EOS25524,-7.642
EOS25860,-7.501
EOS25529,-7.178
EOS25871,-7.128
EOS25874,-6.355
EOS25543,-7.441
EOS25877,-7.175
EOS25547,-6.521
EOS25548,-6.678
EOS25550,-7.259
EOS25552,-7.134
EOS25891,-7.71
EOS25561,-6.399
EOS25896,-7.031
EOS25567,-7.816
EOS25575,-11.092
EOS25909,-7.05
EOS25579,-7.065
EOS25913,-6.558
EOS25584,-7.036
EOS25585,-7.275
EOS25917,-6.623
EOS25596,-5.946
EOS25597,-6.326
EOS25069,-6.889
EOS25603,-6.247
EOS25604,-7.698
EOS25937,-6.34
EOS25941,-7.019
EOS25613,-6.668
EOS25621,-6.89
EOS25959,-8.247
EOS25962,-5.864
EOS25969,-7.143
EOS25643,-6.308
EOS25972,-6.849
EOS25645,-7.962
EOS25984,-7.858
EOS25989,-10.267
EOS25674,-7.865
EOS25088,-6.836
EOS25089,-7.679
EOS25678,-7.43
EOS25679,-7.692
EOS25999,-6.331
EOS25685,-8.75
EOS26007,-7.6
EOS25094,-6.705
EOS25694,-7.303
EOS25697,-7.705
EOS25104,-7.602
EOS26088,-6.801
EOS26091,-7.627
EOS26051,-11.587
EOS26061,-6.396
EOS26082,-7.15
EOS26120,-7.395
EOS26451,-7.066
EOS26131,-11.13
EOS26460,-7.713
EOS26462,-7.469
EOS26139,-7.723
EOS25125,-7.05
EOS26153,-7.43
EOS26157,-6.468
EOS26484,-7.638
EOS26485,-6.002
EOS26163,-7.106
EOS26489,-7.412
EOS26165,-7.417
EOS25133,-7.714
EOS26491,-7.772
EOS26176,-7.446
EOS26185,-6.818
EOS26188,-8.323
EOS26512,-6.25
EOS26519,-6.517
EOS26523,-6.944
EOS26198,-8.907
EOS26528,-6.999
EOS26200,-7.772
EOS26214,-6.89
EOS25149,-8.487
EOS26545,-7.804
EOS26551,-7.135
EOS25154,-8.116
EOS26575,-7.563
EOS26579,-7.947
EOS26585,-8.682
EOS26264,-8.031
EOS25167,-8.65
EOS26278,-8.075
EOS26599,-6.18
EOS25171,-7.805
EOS26603,-11.087
EOS26285,-7.435
EOS26611,-7.078
EOS26305,-6.895
EOS26624,-7.022
EOS26626,-7.512
EOS26627,-6.367
EOS26308,-7.107
EOS26635,-6.64
EOS26317,-6.792
EOS26647,-6.447
EOS25191,-7.572
EOS26671,-8.513
EOS26673,-6.968
EOS25196,-6.598
EOS26357,-7.691
EOS26678,-7.266
EOS26363,-6.655
EOS26690,-6.612
EOS26691,-7.099
EOS26386,-7.615
EOS26387,-6.315
EOS26702,-7.676
EOS25209,-7.455
EOS26394,-6.937
EOS26398,-7.865
EOS26714,-6.451
EOS26718,-8.29
EOS26730,-7.898
EOS26732,-7.486
EOS26422,-6.865
EOS26741,-6.371
EOS25220,-7.563
EOS26424,-5.696
EOS26748,-6.228
EOS26431,-6.202
EOS26432,-6.692
EOS26433,-6.613
EOS25225,-6.984
EOS26756,-6.561
EOS26439,-6.183
EOS26763,-11.96
EOS26450,-6.548
EOS26781,-11.42
EOS26782,-7.299
EOS26827,-6.886
EOS26840,-8.348
EOS26846,-7.588
EOS26802,-7.28
EOS25242,-6.01
EOS26858,-6.358
EOS26813,-7.258
EOS26874,-6.978
EOS25251,-7.477
EOS27190,-7.407
EOS26877,-7.743
EOS26885,-6.734
EOS26887,-8.649
EOS26896,-7.238
EOS27228,-7.399
EOS27238,-6.706
EOS26926,-6.69
EOS26933,-6.665
EOS26936,-7.684
EOS27269,-6.557
EOS26948,-7.348
EOS26954,-6.797
EOS26957,-7.135
EOS26975,-7.048
EOS25284,-7.816
EOS26979,-11.651
EOS26984,-8.082
EOS27325,-6.894
EOS25286,-7.104
EOS26987,-7.896
EOS27331,-6.915
EOS27332,-7.738
EOS27337,-6.54
EOS27342,-8.081
EOS25290,-7.116
EOS25293,-6.784
EOS27361,-7.706
EOS27364,-6.706
EOS25295,-8.177
EOS27367,-7.929
EOS27375,-6.604
EOS27376,-7.886
EOS27378,-7.628
EOS27381,-7.85
EOS27390,-8.058
EOS27394,-7.603
EOS27044,-6.09
EOS25303,-6.461
EOS27062,-7.917
EOS27063,-7.771
EOS27418,-6.421
EOS27420,-7.164
EOS27067,-7.313
EOS27424,-7.394
EOS27436,-11.388
EOS27446,-6.614
EOS27448,-7.668
EOS27098,-7.696
EOS27452,-11.399
EOS27454,-6.443
EOS25318,-8.741
EOS27461,-8.463
EOS27116,-6.296
EOS27465,-7.63
EOS27118,-7.498
EOS27469,-6.857
EOS27470,-8.022
EOS27472,-6.888
EOS27131,-8.065
EOS27132,-7.257
EOS27494,-11.544
EOS25332,-7.247
EOS27504,-6.952
EOS27522,-11.112
EOS27527,-7.216
EOS27172,-8.148
EOS25339,-7.962
EOS27174,-7.784
EOS27532,-8.043
EOS27179,-7.739
EOS25344,-10.881
EOS27569,-6.968
EOS27920,-7.77
EOS27579,-7.567
EOS27583,-9.429
EOS27931,-7.582
EOS27601,-7.661
EOS27612,-7.741
EOS27945,-6.988
EOS27947,-6.251
EOS27955,-6.973
EOS27963,-6.926
EOS27622,-6.766
EOS27968,-5.342
EOS28282,-9.127
EOS27631,-8.005
EOS27641,-5.85
EOS27981,-7.638
EOS27983,-7.656
EOS27993,-8.338
EOS27995,-6.817
EOS28291,-7.071
EOS28002,-7.083
EOS28004,-7.642
EOS27667,-5.938
EOS28293,-6.921
EOS27670,-6.609
EOS27674,-6.935
EOS28016,-6.88
EOS28018,-7.116
EOS28023,-6.794
EOS28031,-7.678
EOS27696,-6.567
EOS28036,-12.218
EOS27702,-12.156
EOS27708,-9.157
EOS28054,-6.741
EOS27728,-6.559
EOS28058,-8.171
EOS28312,-7.133
EOS28066,-6.726
EOS27739,-10.137
EOS28314,-7.673
EOS28077,-7.323
EOS27750,-8.007
EOS28317,-12.177
EOS28088,-10.553
EOS28102,-7.574
EOS28106,-8.463
EOS28107,-10.52
EOS27772,-7.456
EOS27773,-7.594
EOS28109,-6.205
EOS27777,-7.899
EOS27787,-7.417
EOS27788,-7.568
EOS27791,-7.972
EOS28127,-8.568
EOS27793,-6.695
