,Molecule,Score,admetlab_smiles
0,EOS51737,-6.165,CC(C)N(CCNC[C@H](O)COCc1ccccc1Cl)C(C)C
1,EOS51380,-7.711,O=C(NC[C@H]1CCCCN1Cc1cc(=O)c(O)co1)c1ccccc1
2,EOS51384,-6.872,CCNC(=O)Cn1cnc2cc(C)c(C)cc21
3,EOS50391,-8.117,O=C1CCC(C(=O)Nc2cccc(CSc3ccccn3)c2)CN1
4,EOS51749,-7.131,CN(C)CC(C)(C)CNC(O)c1cc(O)n(-c2ccccc2Cl)c1
5,EOS50393,-7.64,C#CCN(CC(F)(F)F)C(O)c1cc(O)n(-c2ccc(CC)cc2)c1
6,EOS51752,-7.741,CC(=O)NCCNC(=O)C1CCCN1C(=O)c1ccc2c(c1)OCO2
7,EOS51400,-6.54,O=C(CNCc1ccccc1)NCCCN1CCCC1=O
8,EOS51755,-6.938,CN(C)CC(C)(C)CNCc1nnc(-c2ccccc2)o1
9,EOS51758,-7.697,CCn1c(=O)n(C[C@H](O)c2cc(OC)ccc2OC)c2ccccc21
10,EOS50397,-8.156,Cc1cc(C2CCCN(C(=O)c3cc(C)n(C(C)C)c3C)C2)[nH]n1
11,EOS51411,-5.975,Clc1cccc(Cl)c1N=C1CCCN1
12,EOS51764,-7.766,COCc1nc(C(=O)N2CCC([C@H](O)c3ccccc3)CC2)cs1
13,EOS50399,-6.616,COc1cc(C(=O)N[C@@H](C)Cc2cccs2)cc(OC)c1OC
14,EOS51428,-6.323,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N
15,EOS50404,-7.743,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21
16,EOS51437,-6.173,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
17,EOS51801,-6.76,C[C@@](N)(C(=O)O)c1ccc(C(=O)O)cc1
18,EOS51824,-6.04,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1
19,EOS51829,-5.801,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
20,EOS50424,-6.629,Cc1ccccc1C(OCCN(C)C)c1ccccc1
21,EOS51513,-11.724,CC(C)C(=O)C(=O)NC(C)C(=O)NC1c2ccccc2CCN(C)C1O
22,EOS50430,-8.64,Cn1c(=O)cc(C(=O)NC(Cc2c[nH]cn2)C(O)N2CCC[C@H]2C(N)=O)[nH]c1=O
23,EOS51875,-6.895,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
24,EOS51540,-7.159,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1
25,EOS51883,-6.674,CC(C)NCC(O)COc1cccc2ccccc12
26,EOS51899,-5.427,O=S(=O)(O)NC1CCCCC1
27,EOS51909,-7.415,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
28,EOS51576,-5.286,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO
29,EOS50454,-8.057,O=C(CNC(O)c1cc(=NC2COC2)[nH]cn1)CN1CCc2ccccc2C1
30,EOS51938,-6.885,NC(CCNCc1ccc(Cl)cc1)C(=O)N1CCCCC1
31,EOS51599,-6.197,CC(=N)NCc1cccc(CN)c1
32,EOS50461,-5.162,COC(=O)C1=CCCN(C)C1
33,EOS51958,-6.48,COc1ccc(C(=O)N2CCCC2=O)cc1
34,EOS50465,-6.156,CN(C)CCOC(c1ccccc1)c1ccccc1
35,EOS51629,-8.413,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
36,EOS51636,-7.485,CCC(CC)N=c1cc(C)[nH]c(Oc2c(C)cc(C)cc2C)c1C
37,EOS51981,-5.116,CNC(CC(=O)O)C(=O)O
38,EOS51646,-4.27,CC(=O)OCC[N+](C)(C)C
39,EOS51652,-6.115,CC(C)NCC(O)c1ccc(O)c(O)c1
40,EOS51658,-6.902,N=C(N)NCCCC(NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O
41,EOS52004,-5.783,NCCNC(=O)c1ccc(Cl)cn1
42,EOS51668,-6.72,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
43,EOS52019,-8.109,Cc1cc(C)cc(Oc2ccc(CNC(=O)C(C)N)cc2C)c1
44,EOS51687,-8.491,O=C(CNC(O)c1cc[nH]c(=NC2CCC2)c1)CN1CCc2ccccc2C1
45,EOS52048,-6.121,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
46,EOS52049,-6.39,CNCCN1CCC(OCc2ccccc2)CC1
47,EOS50494,-6.596,COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O
48,EOS52091,-7.276,Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1
49,EOS52094,-10.822,CC(C)C1C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C
50,EOS50506,-7.986,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
51,EOS52506,-6.338,C[C@](N)(Cc1ccc(O)cc1)C(=O)O
52,EOS52507,-6.657,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
53,EOS52510,-3.398,CC(N)=O
54,EOS52514,-5.853,c1nc(CC2CCNCC2)c[nH]1
55,EOS52516,-6.756,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
56,EOS52177,-11.239,COc1cc2c(=NC3CCN(C)CC3)[nH]c(N3CCCN(C)CC3)nc2cc1OCCOCCN(C)C
57,EOS52528,-6.659,Cc1ccsc1C(=O)OCC(=O)N1CCOCC1
58,EOS52189,-4.496,CCCCCCCNC=O
59,EOS52190,-4.716,CNCCc1c[nH]cn1
60,EOS52550,-6.144,CNC[C@@H](O)c1ccc(O)c(O)c1
61,EOS52551,-4.594,Cn1cnc(CCN)c1
62,EOS50535,-4.807,Cc1[nH]cnc1CCN
63,EOS50536,-6.387,Cc1cccc(OCC(O)CNC(C)C)c1
64,EOS52569,-5.898,Cc1ccc(S(=O)(=O)O)cc1
65,EOS52571,-6.325,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
66,EOS52572,-6.016,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
67,EOS52582,-2.604,C[N+](C)(C)C
68,EOS52601,-5.26,C=C(O[PH](=O)(=O)[O-])C(=O)O
69,EOS52249,-4.193,CN(C)CCCSC(=N)N
70,EOS52607,-6.54,N=C(N)N1CCc2ccccc2C1
71,EOS50548,-4.402,O=C(O)C(Cl)(Cl)Cl
72,EOS50549,-6.744,N=C(NCCCC(N)C(=O)O)N[N+](=O)[O-]
73,EOS52256,-6.156,N[C@@]1(C(=O)O)CC[C@H]2C(C(=O)O)[C@H]21
