,Molecule,Score,admet_smiles
0,EOS58040,-12.176,Cc1cc(C(=O)N2CCCn3nc(C(C)O)cc3C2)nc(C)n1
1,EOS58042,-8.587,Cc1cc(C)cc(CN2CCN(C(=O)c3c[nH]nn3)CC2=O)c1
2,EOS58404,-6.916,COc1cccc(SCC(=O)N(C)Cc2cnc3ccccn23)c1
3,EOS58051,-7.777,Cn1cc(O)n(-c2cccc(NC(=O)NCC3COCCO3)c2)c1=O
4,EOS58413,-7.168,O=C(Nc1ccc(Cl)cc1)N[C@@H]1CNCC[C@H]1O
5,EOS56422,-6.5,OCC1CCCCN1CCNCc1cccc(O)c1
6,EOS58060,-6.807,COc1cccc(CC(=O)N[C@@H]2CNC[C@H]2O)c1
7,EOS58064,-7.157,COCCNC(=O)CC1C(=O)NCCN1Cc1ccc(OC)c(C)c1C
8,EOS58072,-8.795,CCn1nc(CO)c2c1CCN(C(=O)C1NC(N)Nc3ccccc31)C2
9,EOS58074,-7.121,O=C(Cc1ccccn1)NCCN1CCCCC1CO
10,EOS58429,-7.589,CCN(CCOc1ccc(Cl)cc1)C(=O)Cc1c(O)n(C)c(=O)n1C
11,EOS58435,-7.462,COc1ccc(C(=O)N2CCC(C(=O)NCc3nc[nH]n3)CC2)cc1OC
12,EOS58083,-8.376,CN(C)C(=O)c1cccc(NC(=O)NC2CCN(CC3CCCO3)CC2)c1
13,EOS58086,-8.604,Cn1nc2n(c1=O)CC(C(=O)NCc1ccc3sccc3c1)CC2
14,EOS58088,-7.822,Cn1c(C(=O)NCCc2c[nH]nn2)cc2cccc(Cl)c21
15,EOS56432,-8.606,O=C(NC1CCCN(Cc2cccc(O)c2)C1)C1(N2CCOCC2)CCCCC1
16,EOS58450,-8.968,Cc1nc2c(c(=O)n1C)CN(C(=O)C1(c3ccccc3)CC1(C)C)C2
17,EOS58451,-9.111,Cc1cccc2ncc(C(=O)NC3COC4(CCCCC4)C3)c(=O)n12
18,EOS58104,-7.052,CC(C)NC(=O)c1ccc(NC(=O)C(C)N2CCN(C)CC2)cc1
19,EOS58109,-6.753,COc1ccc(CNCCN2CCCC(CO)C2)cc1O
20,EOS58111,-7.461,Cc1cc2nc(CN(C)C(=O)CN(C)C3CCS(=O)(=O)C3)[nH]c2cc1C
21,EOS58112,-7.445,CC(C)c1nccn1CCCNCc1ccccc1OCC(=O)NCC1CCCO1
22,EOS56439,-7.277,Cc1c[nH]c(CN2CCCC(CNC(=O)CN3CCCC3=O)C2)n1
23,EOS58474,-7.705,CCn1c(C)ccc(C(=O)NCc2snnc2C)c1=O
24,EOS58477,-7.979,CCN1CCN(C(=O)C2CC(=O)OC23CCCC3)CC1=O
25,EOS58123,-7.098,COCCN1CCC(CNS(=O)(=O)c2cc(OC)ccc2OC)C1
26,EOS56443,-6.074,CCOc1ccc(CNCCN2CCCCC2CO)cn1
27,EOS58483,-7.412,CN(Cc1ccccc1CN1CCCC1)C(=O)CCc1[nH]c(=O)[nH]c1O
28,EOS58484,-7.819,COCCN1CC(CNC(=O)N2CCN(Cc3ccco3)CC2)CC1=O
29,EOS58488,-7.632,COc1ccc(CN2CCn3nc(CNC(C)=O)cc3C2)cn1
30,EOS58135,-7.851,Cc1cc(C)n(Cc2ccc(NC(=O)N(C)CC3CC(=O)N(C)C3)cc2)n1
