Molecule,Score
CC(C)N(CCNC[C@H](O)COCc1ccccc1Cl)C(C)C,-6.836
O=C(NC[C@H]1CCCCN1Cc1cc(=O)c(O)co1)c1ccccc1,-8.963
CCNC(=O)Cn1cnc2cc(C)c(C)cc21,-6.878
O=C1CCC(C(=O)Nc2cccc(CSc3ccccn3)c2)CN1,-8.322
CN(C)CC(C)(C)CNC(O)c1cc(O)n(-c2ccccc2Cl)c1,-7.488
C#CCN(CC(F)(F)F)C(O)c1cc(O)n(-c2ccc(CC)cc2)c1,-7.722
CC(=O)NCCNC(=O)C1CCCN1C(=O)c1ccc2c(c1)OCO2,-7.86
O=C(CNCc1ccccc1)NCCCN1CCCC1=O,-6.5
CN(C)CC(C)(C)CNCc1nnc(-c2ccccc2)o1,-6.956
CCn1c(=O)n(C[C@H](O)c2cc(OC)ccc2OC)c2ccccc21,-7.719
Cc1cc(C2CCCN(C(=O)c3cc(C)n(C(C)C)c3C)C2)[nH]n1,-8.346
Clc1cccc(Cl)c1N=C1CCCN1,-5.962
COCc1nc(C(=O)N2CCC([C@H](O)c3ccccc3)CC2)cs1,-7.722
COc1cc(C(=O)N[C@@H](C)Cc2cccs2)cc(OC)c1OC,-7.202
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N,-7.329
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21,-8.321
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-6.28
C[C@@](N)(C(=O)O)c1ccc(C(=O)O)cc1,-6.782
CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1,-5.9
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-6.229
Cc1ccccc1C(OCCN(C)C)c1ccccc1,-6.529
CC(C)C(=O)C(=O)NC(C)C(=O)NC1c2ccccc2CCN(C)C1O,-12.304
