,Molecule,Score,admetlab_smiles
0,CC(C)N(CCNC[C@H](O)COCc1ccccc1Cl)C(C)C,-6.836,CC(C)N(CCNC[C@H](O)COCc1ccccc1Cl)C(C)C
1,O=C(NC[C@H]1CCCCN1Cc1cc(=O)c(O)co1)c1ccccc1,-8.963,O=C(NC[C@H]1CCCCN1Cc1cc(=O)c(O)co1)c1ccccc1
2,CCNC(=O)Cn1cnc2cc(C)c(C)cc21,-6.878,CCNC(=O)Cn1cnc2cc(C)c(C)cc21
3,O=C1CCC(C(=O)Nc2cccc(CSc3ccccn3)c2)CN1,-8.322,O=C1CCC(C(=O)Nc2cccc(CSc3ccccn3)c2)CN1
4,CN(C)CC(C)(C)CNC(O)c1cc(O)n(-c2ccccc2Cl)c1,-7.488,CN(C)CC(C)(C)CNC(O)c1cc(O)n(-c2ccccc2Cl)c1
5,C#CCN(CC(F)(F)F)C(O)c1cc(O)n(-c2ccc(CC)cc2)c1,-7.722,C#CCN(CC(F)(F)F)C(O)c1cc(O)n(-c2ccc(CC)cc2)c1
6,CC(=O)NCCNC(=O)C1CCCN1C(=O)c1ccc2c(c1)OCO2,-7.86,CC(=O)NCCNC(=O)C1CCCN1C(=O)c1ccc2c(c1)OCO2
7,O=C(CNCc1ccccc1)NCCCN1CCCC1=O,-6.5,O=C(CNCc1ccccc1)NCCCN1CCCC1=O
8,CN(C)CC(C)(C)CNCc1nnc(-c2ccccc2)o1,-6.956,CN(C)CC(C)(C)CNCc1nnc(-c2ccccc2)o1
9,CCn1c(=O)n(C[C@H](O)c2cc(OC)ccc2OC)c2ccccc21,-7.719,CCn1c(=O)n(C[C@H](O)c2cc(OC)ccc2OC)c2ccccc21
10,Cc1cc(C2CCCN(C(=O)c3cc(C)n(C(C)C)c3C)C2)[nH]n1,-8.346,Cc1cc(C2CCCN(C(=O)c3cc(C)n(C(C)C)c3C)C2)[nH]n1
11,Clc1cccc(Cl)c1N=C1CCCN1,-5.962,Clc1cccc(Cl)c1N=C1CCCN1
12,COCc1nc(C(=O)N2CCC([C@H](O)c3ccccc3)CC2)cs1,-7.722,COCc1nc(C(=O)N2CCC([C@H](O)c3ccccc3)CC2)cs1
13,COc1cc(C(=O)N[C@@H](C)Cc2cccs2)cc(OC)c1OC,-7.202,COc1cc(C(=O)N[C@@H](C)Cc2cccs2)cc(OC)c1OC
14,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N,-7.329,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N
15,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21,-8.321,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)C[C@H]21
16,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,-6.28,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
17,C[C@@](N)(C(=O)O)c1ccc(C(=O)O)cc1,-6.782,C[C@@](N)(C(=O)O)c1ccc(C(=O)O)cc1
18,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1,-5.9,CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1
19,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-6.229,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
20,Cc1ccccc1C(OCCN(C)C)c1ccccc1,-6.529,Cc1ccccc1C(OCCN(C)C)c1ccccc1
21,CC(C)C(=O)C(=O)NC(C)C(=O)NC1c2ccccc2CCN(C)C1O,-12.304,CC(C)C(=O)C(=O)NC(C)C(=O)NC1c2ccccc2CCN(C)C1O
22,Cn1c(=O)cc(C(=O)NC(Cc2c[nH]cn2)C(O)N2CCC[C@H]2C(N)=O)[nH]c1=O,-8.561,Cn1c(=O)cc(C(=O)NC(Cc2c[nH]cn2)C(O)N2CCC[C@H]2C(N)=O)[nH]c1=O
23,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,-7.057,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1
24,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,-7.139,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1
25,CC(C)NCC(O)COc1cccc2ccccc12,-6.658,CC(C)NCC(O)COc1cccc2ccccc12
26,O=S(=O)(O)NC1CCCCC1,-5.457,O=S(=O)(O)NC1CCCCC1
27,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,-7.428,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
28,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,-5.487,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO
29,O=C(CNC(O)c1cc(=NC2COC2)[nH]cn1)CN1CCc2ccccc2C1,-7.802,O=C(CNC(O)c1cc(=NC2COC2)[nH]cn1)CN1CCc2ccccc2C1
30,NC(CCNCc1ccc(Cl)cc1)C(=O)N1CCCCC1,-6.806,NC(CCNCc1ccc(Cl)cc1)C(=O)N1CCCCC1
31,CC(=N)NCc1cccc(CN)c1,-6.23,CC(=N)NCc1cccc(CN)c1
32,COC(=O)C1=CCCN(C)C1,-5.184,COC(=O)C1=CCCN(C)C1
33,COc1ccc(C(=O)N2CCCC2=O)cc1,-6.676,COc1ccc(C(=O)N2CCCC2=O)cc1
34,CN(C)CCOC(c1ccccc1)c1ccccc1,-6.238,CN(C)CCOC(c1ccccc1)c1ccccc1
35,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,-7.842,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C
36,CCC(CC)N=c1cc(C)[nH]c(Oc2c(C)cc(C)cc2C)c1C,-7.435,CCC(CC)N=c1cc(C)[nH]c(Oc2c(C)cc(C)cc2C)c1C
37,CNC(CC(=O)O)C(=O)O,-5.404,CNC(CC(=O)O)C(=O)O
38,CC(=O)OCC[N+](C)(C)C,-4.251,CC(=O)OCC[N+](C)(C)C
39,CC(C)NCC(O)c1ccc(O)c(O)c1,-6.702,CC(C)NCC(O)c1ccc(O)c(O)c1
40,N=C(N)NCCCC(NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O,-8.382,N=C(N)NCCCC(NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O
41,NCCNC(=O)c1ccc(Cl)cn1,-5.7,NCCNC(=O)c1ccc(Cl)cn1
42,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,-7.787,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
43,Cc1cc(C)cc(Oc2ccc(CNC(=O)C(C)N)cc2C)c1,-8.322,Cc1cc(C)cc(Oc2ccc(CNC(=O)C(C)N)cc2C)c1
