Molecule,Score
CC(C(=O)N1CCc2[nH]cnc(=O)c2CC1)c1ccccc1,-12.395
Cc1cc(C(=O)NCCN2CCCCCC2)c2c(=O)n(C)c(=O)n(C)c2n1,-11.746
CCc1ccc(-c2cc3n(n2)CCCN(C(=O)Cn2cnc4c2c(=O)n(C)c(=O)n4C)C3)cc1,-13.258
COCCn1c(C)cc(C(=O)N2CCCC(c3cc4n(n3)CCCNC4=O)C2)c1C,-12.86
COCCOCC(=O)N1CCOc2ccc(C(=O)NCc3ccccc3)cc2C1,-11.262
Cc1nc(=O)c2c([nH]1)CCC(C(=O)NCc1ccsc1)CC2,-12.454
COCCCNC(=O)N1CC[C@@H]2[C@@H](COCCN2Cc2ccccc2)C1,-11.386
CCCNC(=O)N1CCOC[C@H]2CN(C(=O)COCc3ccccc3)CC[C@H]21,-11.044
CCCNC(=O)N1CCOC[C@H]2CN(C(=O)C3(c4ccccc4)CC3)CC[C@H]21,-11.541
CCn1nccc1C(=O)N1C[C@H]2CCCC(=O)N[C@H]2C1,-12.188
CN(CC(=O)N1CCCCCC1)C(=O)c1cc2n(n1)C[C@@H](Oc1cccnc1)C2,-12.289
Cc1cccc(OC(C)C(=O)N2CCCCCC2)c1,-11.336
CC(c1ccc(C(=O)N2CCCNC(=O)C2)o1)N1CCCCC1,-12.127
COCCn1cc(C(O)N2CCCN(C)C3(CCN(C)CC3)C2)cc1O,-10.792
CCNC(=O)CN1CCc2nnc(Cc3ccccc3)n2CC1,-11.617
Cc1n[nH]c(C2CCN(C(=O)C3CCCCn4nnnc43)CC2)n1,-13.216
CCC(C)(CCNC(=O)N1CCCNC(=O)C1)c1ccccc1OC,-11.597
Cc1nc2cc(CNC(=O)N3CCCC4(CC3)CNC(=O)O4)ccc2n1C,-12.807
CC(=O)NCCC(=O)N1CCOc2c(O)cc(-c3cccc(Cl)c3)cc2C1,-11.475
CC(C)Oc1ccc(CCNC(=O)c2cc3n(n2)CC(O)CNC3=O)cc1,-12.407
Cc1cnc(C)c(-c2cc(O)c3c(c2)CN(C(C)C(N)=O)CCO3)n1,-12.509
CC(C)Cc1cc(C(=O)N2CCCN(C(=O)CCc3[nH]c(=O)[nH]c3O)CC2)[nH]n1,-11.572
Cn1nc2c(c1C(=O)N1CCCN([C@H]3COC[C@@H]3O)CC1)CCCC2,-11.939
COCCN(Cc1c(C)nn(C)c1C)C(=O)C1CCC(=O)NC(=O)N1,-11.669
O=C1CCC(N2CCOC3(CCN(Cc4nccs4)CC3)C2)CCN1,-12.623
Cn1c(=O)c(CN2CCCC(O)(CO)CC2)cc2ccccc21,-12.022
O=C1CCC(C(=O)NCCCSCc2ccco2)NC(=O)N1,-11.796
CN(C)C(=O)N1CCCn2nc(CNC(=O)NCc3ccc(F)cc3)cc2C1,-12.778
O=C1CCC(C(=O)NCCSCc2cccc(Cl)c2)NC(=O)N1,-12.505
Cc1ccc(C(NC(=O)CCN2CCCCCC2=O)c2ccncc2)cc1,-11.774
O=C(CO)NCc1cc2n(n1)CCCN(C(=O)C1CCC1)C2,-11.043
Cc1cnc2c(C(=O)N3CCCN(CC4=CC[C@H]5C[C@@H]4C5(C)C)CC3)cnn2c1,-12.99
CCc1cc(CN2CCOc3ccc(Cl)cc3C2)[nH]n1,-11.563
CCCCc1nc(=NCCNC(=O)C2CCC(=O)NC(=O)N2)cc(C)[nH]1,-12.449
CCN1CCC(N2CCOC3(COCCN(C(=O)c4ccccc4C)C3)C2)CC1,-12.309
COCC(C)n1c(CCCC(=O)N2CCNC(=O)CC2)nc2cccnc21,-11.401
CN(C)CC1COCCN(C(=O)c2ccc(F)cc2O)C1,-10.936
COCCCN(Cc1ccc(F)cc1)C(=O)C1CCC(=O)NC(=O)N1,-11.593
O=C(C1CCCCn2nnnc21)N1CCCC1c1ccccc1,-12.599
CC(C)CCOc1cccc(CCNC(=O)C2CCC(=O)NC(=O)N2)c1,-12.248
CN(CC(=O)N1CCOc2ccc(CO)cc2C1)C1CCS(=O)(=O)C1,-12.089
CC1=NOC(C(=O)N2CCCn3nc(C(=O)NCCN(C)C)cc3C2)C1,-11.844
Cc1cc(CN2CCNC(=O)CC2)c(C)c(CN2CCCCC2C)c1,-12.15
Cc1cc(CN2CCCNC(=O)C2Cc2ccccc2)n(C)n1,-11.809
CC(C)C(=O)Nc1ccc(C(=O)N2CCC(N3CCCOCC3)CC2)cc1,-11.498
Cn1c(Cl)cnc1CN1CCCN(C(=O)C2CC=CCC2)CC1,-11.629
CC(C)(C)[C@@H]1CCN(C(=O)C2CCS(=O)(=O)CC2)CCO1,-11.392
CCn1ccnc1CN1CCCN(C(=O)C2(C#N)CCCCC2)CC1,-11.459
NC(=O)C1Cc2ccccc2N1Cc1nnc2n1CCOCC2,-13.03
O=C(Cn1nc2n(c1=O)CCCCC2)N1CCCC(c2n[nH]c(C3CC3)n2)C1,-12.879
CC(C)(C)[C@H]1CCCN(C(=O)NC2CCC3(CC2)OCCO3)CC1,-11.977
CCC(CC)NC(=O)CN1CCC[C@H]1c1ccc2c(c1)OCCCO2,-11.357
O=c1cc(C(O)NCc2nnc3n2CCCCC3)c2ccccc2[nH]1,-12.589
Cc1ccc(C)c(OCC(=O)NC2CCCCNC2=O)c1,-11.652
O=C(Cc1ccc(Br)cc1)NC1CCCCNC1=O,-11.488
O=C(Cc1ccccc1F)NC1CCCCNC1=O,-11.695
COc1ccccc1N(C)CC(=O)NC1CCCCNC1=O,-11.206
CN1CCCN(C2CCCN(c3ccccc3Cl)C2=O)CC1=O,-12.328
O=C(NCCN1CCCOCC1)Nc1ccc(C2CC2)c(F)c1,-11.443
Cc1ccc(C#N)cc1NC(=O)NC1CCCCNC1=O,-12.379
Cn1cnc([C@@H]2CNCC2C(=O)N2CCOc3ccc(O)cc3C2)c1,-12.415
Cc1cccc([C@@H](O)CNC(=O)c2ccc3c(c2)C(=O)NCCO3)c1,-13.219
CC(C(=O)N1CCN(c2ccc(=O)[nH]n2)CC1)N1CCCCCC1,-12.242
O=C(c1cc(Cl)c2c(c1)OCCCO2)N1CCN(CCO)CC1,-12.297
COc1ccc2c(c1)OC(C)(C)CN(C(=O)NC[C@@H]1CNC(=O)C1)C2,-11.946
CC(=O)N[C@@H]1CN(C(=O)NCC2(C)CCCCCC2)C[C@H]1c1ccnn1C,-11.614
O=C(N[C@H]1CCc2[nH]cnc2C1)c1ccc2c(c1)C(=O)NCCO2,-13.412
COc1cc(C(=O)N2CCOC[C@@H](C3CCC3)C2)cc(C)n1,-11.213
C[C@]1(C(=O)N2CCCc3occc3C2)CCC(=O)NC1,-12.262
CC1C(=O)NCCCN1C(=O)c1ccc(CN2CCOCC2)cn1,-12.28
Cc1nnc(CN2CCCN(C(=O)c3ccccc3Cl)CC2)n1C,-11.902
O=C(COc1ccccc1Cl)NC1CCCCNC1=O,-11.372
O=C1CC[C@H](N2CCN(C(=O)COc3ccsc3Cl)CC2)CCN1,-11.918
CN1CCC[C@H](NC(=O)N2CC(=O)Nc3ccccc3C2)C1,-12.953
Cc1cc(CNC(=O)N2CCS(=O)(=O)C[C@@H](C)C2)n(C)n1,-11.476
Cn1c(CN2CCNC[C@](C)(F)C2)nc2ccccc2c1=O,-11.909
COc1ccc(CNC(=O)NC2CCCCNC2=O)cc1OC,-11.568
Cc1nccn1-c1ncccc1CNC(=O)N[C@H]1CCCCNC1,-12.074
CN1C(=O)CN(C(=O)C2CNC[C@H]2c2cn(C)cn2)Cc2ccccc21,-13.432
CCOc1ccc(C(=O)NC(C)c2nnc3n2CCCCC3)cc1,-11.839
COc1ccc(CCC(=O)NC2CCCCNC2=O)c(OC)c1OC,-10.945
CC(C)N1CCC(NC(=O)CN2CCOc3ccccc3C2)CC1,-11.667
Cc1nc(CN2CCN(C3CCCCNC3=O)CC2)cs1,-11.429
O=C1NCCCCC1Sc1ccc(Cl)nn1,-11.327
CSc1ccc(C)c(C(=O)NC2CCCCNC2=O)c1,-11.589
Cc1ccc(C)c(C(=O)NC2CCCCNC2=O)c1,-12.012
C[C@@H](NC(=O)NCCCc1nnc2n1CCCCC2)c1ccccc1,-12.037
C[C@H]1CN(Cc2ccccc2)CCCN1CC(=O)NC(N)=O,-10.924
CCn1ccnc1CN1CCCN(C(=O)Cn2nc(C)cc2C)CC1,-11.177
Cc1nccc(CNC(=O)NCc2nnc3n2CCCCC3)n1,-12.505
O=C1CCCCC(C(=O)N2CCC=C(c3ccncc3)C2)N1,-12.064
CC(CNC(=O)c1[nH]nc2c1CCCCC2)c1nncn1C,-12.104
O=C(COc1ccc(F)cc1)NC1CCCCNC1=O,-11.611
CCc1ccc(OCC(=O)NC2CCCCNC2=O)cc1,-11.222
N#Cc1ccccc1OCC(=O)NC1CCCCNC1=O,-11.069
COc1nn(C)cc1NC(=O)NCC1CCC=CCC1,-11.253
Cc1cnc(CCNC2=NCCCCN2)cn1,-11.19
O=C(NCc1nncn1-c1ccccc1)N1CCCCCC1,-11.801
CC(=O)c1cccc(NC(C)C(=O)N2CCCCCC2)c1,-11.192
C[C@](O)(CN1CCCN(c2cccnn2)CC1)C(F)(F)F,-11.029
CCC(=O)c1ccc(OCC(=O)NC2CCCCNC2=O)cc1,-11.57
O=C(Cc1ccc(Cl)cc1)NC1CCCCNC1=O,-11.696
O=C(COc1ccc(F)cc1F)NC1CCCCNC1=O,-11.841
O=C(NC1CCCCNC1=O)c1cncc(Br)c1,-11.736
CCOc1ccnc(N2CCCN(C3CCN(C)C3=O)CC2)n1,-11.111
CN(C)C1CCC2(CC1)CCN(C(=O)C1CCCCC(=O)N1)CC2,-13.136
C[C@H]1COc2ccccc2CN1C(=O)NCC1(C(F)(F)F)CCC1,-11.603
CSC1(C(=O)N2Cc3ccccc3OC[C@@H]2C)CCC1,-11.568
Cc1ccccc1C(=O)NC1CCCCNC1=O,-11.474
CC(C)(C)OCc1cccc(CNC(=O)NC2CCCCNC2=O)c1,-11.651
CCN1CCCN(CC(=O)N[C@@H](Cc2ccccc2)c2ccccc2)CC1=O,-11.736
NC(=O)c1csc(CN2CCNC(=O)C[C@H]2c2ccccc2)c1,-12.018
CCC[C@H]1CCCN(C(=O)Nc2ccccc2CC(=O)NC)CC1,-10.868
CC(=O)C1CC(C(=O)N2CCCN(C(=O)c3ccccc3)CC2)C1(C)C,-10.939
Cc1cccc(OCC(=O)NC2CCCCNC2=O)c1,-11.606
O=C(NCc1nnc2n1CCCCC2)c1ccc(=O)[nH]n1,-12.346
Cc1ccccc1CC(=O)NC1CCCCNC1=O,-11.882
O=C(Cc1ccc(F)cc1)NC1CCCCNC1=O,-11.514
COc1ncccc1CNC(=O)NC1CCCCNC1=O,-11.751
COc1ccc(OCC(=O)NC2CCCCNC2=O)cc1,-11.202
Cc1ccc(C(=O)NC2CCCCNC2=O)cc1F,-12.123
NC(=O)N[C@@H](CC(=O)N1CCCC2(CCCCC2)CC1)c1cccs1,-11.864
C[C@H]1CN(C(=O)C2=CCCCCC2)CC(=O)N1C,-11.282
CC(C)c1nsc(CN2CCNC(=O)C[C@@H]2C)n1,-10.912
COc1ccc2c(c1)CCCN(C(=O)c1cc3n(n1)CCO3)C2,-12.339
CCN1CCCCC1C(=O)NCCc1nnc2n1CCCCC2,-11.816
C[C@]1(c2ccccc2F)NC(=O)N(CC(=O)N2CCCCCC2)C1=O,-12.833
CC(C)(C)c1ccccc1OCC(=O)NC1CCCCNC1=O,-11.786
O=C(N[C@H]1[C@@H]2CNC[C@@H]21)N1CCOc2ccc(F)cc2C1,-12.398
C[C@H]1CCOCCN1Cc1nnc(C(=O)Nc2ccccc2)s1,-11.743
COc1c(NC(=O)C2=CCCCCC2)c(C)nn1C,-11.158
COCCN1CCCN(C(O)c2cc(=O)[nH]c3cc(F)ccc23)CC1,-11.262
CC(=O)c1ccccc1C(=O)N1CCOc2ccccc2C1,-12.09
Cn1cccc1CNC(=O)N1CCOC[C@@H](C2CCC2)C1,-10.875
CC1(C)COc2ccc(C(=O)N3CCC[C@H](O)CC3)cc21,-11.625
CN(C(=O)NCCc1nnc2n1CCCCC2)[C@@H]1COC[C@H]1O,-11.812
O=C(CN1CCNCCC12CCOCC2)NCc1ccccc1,-11.467
Cc1cc(CCNC(=O)C2CCCCC(=O)N2)cc(C)c1O,-12.062
O=C1CCCCC(C(=O)NCCc2nccn2Cc2ccccc2)N1,-11.997
CCCN1CCCN(C(=O)c2ccc(-c3n[nH]c(CC)n3)cc2)CC1=O,-11.294
Cn1c(C(C)(C)NC(=O)C2CCCCC(=O)N2)nc2ccccc21,-12.896
O=C1CCCCC(C(=O)N2CCn3cncc3C2)N1,-11.744
CCN(CCC(F)(F)F)C(=O)c1ccc2c(c1)OCCCO2,-11.078
