Molecule,Score
O=C1CCC(C(=O)N2CCOc3ccccc3C2)NC(=O)N1os,-15.953
Cc1n[nH]c(CN2CC3CCC[C@@H](C2)NC3=O)n1os,-14.855
CN1CCCN(C(=O)N[C@H]2CCCOc3ccc(F)cc32)CC1os,-14.358
O=C1N[C@H]2CCCC1CN(C(=O)NCCSCc1cccc(Cl)c1)C2os,-14.191
CC(C)CCOc1ccccc1CCNC(=O)N1CC2CCC[C@@H](C1)NC2=Oos,-13.802
Cc1cncc(C(=O)N2CCC3(CC2)CN(C2CCNC(=O)CC2)CCO3)c1os,-13.501
O=C(CN1C(=O)CCCc2ccccc21)NCCN1CCCCCC1os,-13.417
CC1(C)CCN(C(=O)NC2COCCOC2)CC(C)(C)C1os,-13.409
CC(C)C[C@H]1CCCCCN1Cc1nnc2n1CCCCC2os,-13.187
Cn1c(=O)c2c(ncn2CC(=O)NC(=O)Nc2ccc3c(c2)OCCCO3)n(C)c1=Oos,-13.095
CC1(C)CN(C(=O)C2CCCCCC2)CCCO1os,-13.043
CC(C)(C)c1ccc2oc(CNC(=O)C3CCC(=O)NC(=O)N3)nc2c1os,-12.99
COCCNC(=O)c1ccc2c(c1)CN(C(=O)CN1CCCCCC1)[C@@H](C)CO2os,-12.979
O=C(NCC1(c2ccccc2F)CCCC1)c1cc2n(n1)CC(O)CNC2=Oos,-12.66
CC1(C)CC(NC(=O)c2cc3n(n2)CC(O)CNC3=O)CC(C)(C)N1os,-12.644
Cc1cccc(-c2cc3n(n2)CCCN(C(=O)Cn2cnc4c2c(=O)n(C)c(=O)n4C)C3)c1os,-12.643
O=C(N[C@H]1CCc2[nH]cnc2C1)c1ccc2c(c1)C(=O)NCCO2os,-12.623
O=C(c1cc[nH]c(=O)c1)N1CCC[C@@]2(CCCCc3ccccc32)C1os,-12.581
CC(C)(Cc1ccc(F)cc1)NC(=O)C1CCC(=O)NC(=O)N1os,-12.53
Cn1nccc1C(O)c1cc2n(n1)CCCN(Cc1ccc3c(c1)OCO3)C2os,-12.434
Cn1c(=O)c2c(ncn2CC(=O)N2CCCn3nc(-c4ccccc4)cc3C2)n(C)c1=Oos,-12.431
CCc1ccc(-c2cc3n(n2)CCCN(C(=O)Cn2cnc4c2c(=O)n(C)c(=O)n4C)C3)cc1os,-12.395
Cn1nc2n(c1=O)CC(C(=O)NCc1[nH]nc3c1CCCCC3)CC2os,-12.336
CC(C)N1CCC(CNC(=O)C2CCC(=O)NC(=O)N2)CC1os,-12.323
Cc1n[nH]c(C2CCN(C(=O)C3CCCCn4nnnc43)CC2)n1os,-12.321
O=C1CC[C@H](NC(=O)c2cc(F)cc3[nH]cnc23)CCN1os,-12.315
Cc1cccc([C@@H](O)CNC(=O)c2ccc3c(c2)C(=O)NCCO3)c1os,-12.294
CN1CCC[C@H](NC(=O)N2CC(=O)Nc3ccccc3C2)C1os,-12.276
CN1C(=O)C(C)(C)COc2ccc(NC(=O)CC3CCNC3=O)cc21os,-12.215
CCCCc1nc(=NCCNC(=O)C2CCC(=O)NC(=O)N2)cc(C)[nH]1os,-12.211
CCc1ccccc1OC1CN(C(=O)C2CCC(=O)NC(=O)N2)C1os,-12.186
O=C(Nc1ccc(N2CCOCC2)nc1)NC1CCCCNC1=Oos,-12.163
CN1C(=O)CN(C(=O)C2CNC[C@H]2c2cn(C)cn2)Cc2ccccc21os,-12.124
C[C@H](NC(=O)N1CCC(C(N)=O)CC1)c1ccc2c(c1)OCCCO2os,-12.123
COc1ccc(C(=O)N2CCOc3ccc(C(=O)N4CCCC4)cc3C2)cc1Fos,-12.115
CN1C(=O)C(C)(C)COc2ccc(NC(=O)N[C@@H]3CNC(=O)C3)cc21os,-12.111
CC(CNC(=O)c1ccc2c(c1)C(=O)NCCO2)c1nncn1Cos,-12.07
O=c1cc(C(O)NCc2nnc3n2CCCCC3)c2ccccc2[nH]1os,-12.017
Cc1cc(C)n(CC2(CNC(=O)C3CCC(=O)NC(=O)N3)CC2)n1os,-12.012
Cc1cc(C(=O)N2CCCC2)ccc1NC(=O)N1CCNC(=O)C[C@@H]1Cos,-12.01
Cc1cccc(CN2CCCn3nc(C(=O)NCc4cccnc4)cc3C2=O)c1os,-12.009
Cc1cnc(C)c(-c2cc(O)c3c(c2)CN(C(C)C(N)=O)CCO3)n1os,-11.972
O=C(C1CCOc2ccccc2C1)N1CCN(Cc2nc[nH]n2)CC1os,-11.97
O=C(NCCN1CCOCC1)c1cc2n(n1)CCCN(Cc1cccc(F)c1)C2=Oos,-11.96
Cn1c(C(C)(C)NC(=O)C2CCCCC(=O)N2)nc2ccccc21os,-11.96
Cc1cccc(CN2CCCn3nc(C(=O)NCCN4CCOCC4)cc3C2=O)c1os,-11.924
CCN1CCC(N2CCCC(c3cc4n(n3)CCCN(CC)C4=O)C2)CC1os,-11.915
Cc1nc2n(n1)CC(C(=O)NC1CCc3ccccc3CC1)CC2os,-11.906
CN1CCN(CCNC(=O)c2cc3n(n2)CCCN(Cc2cccc(F)c2)C3=O)CC1os,-11.883
O=C(C1CCCCn2nnnc21)N1CCCC1c1ccccc1os,-11.876
Cn1ncc2c1CCCN(C(=O)c1c3n(c(=O)n1C)CCCC3)C2os,-11.865
Cc1cccc(Cl)c1OCCNC(=O)c1cc2n(n1)CC(O)CNC2=Oos,-11.854
CC(NC(=O)c1cc(F)cc(F)c1)c1nnc2n1CCCCC2os,-11.85
O=C(NCCCN1CCOCC1)c1cc2n(n1)CCCN(Cc1cccc(F)c1)C2=Oos,-11.848
NC(=O)C1Cc2ccccc2N1Cc1nnc2n1CCOCC2os,-11.845
CC(C)Oc1ccc(CCNC(=O)c2cc3n(n2)CC(O)CNC3=O)cc1os,-11.845
Cc1cc(C)nc(N2CCC=C(c3cn(C(C)C)nn3)CC2)n1os,-11.837
O=C1CN(C[C@H](O)c2cc3ccccc3o2)CCCN1os,-11.835
