,Unnamed: 0,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,eos,rules_sum,scores_sum,warning_scores,warning_PAINS
27,27,O=C(c1snnc1-c1ccccc1)N1CCOCC1,-1.916,0.922,1.402,0.005,0.0,0.004,0.019,0.034,-4.538,4.303610330680385e-05,0.793,90.72843933105469%,0.87,7.678721904754639%,0.465,0.124,0.8,0.308,0.356,0.654,0.126,0.514,0.282,0.31,5.029,0.552,0.026,0.466,0.461,0.013,0.131,0.016,0.255,0.059,0.004,0.171,0.92,0.345,2.01,2.69,4.386,0.004,0.046,0.067,0.033,0.126,0.008,0.374,0.479,0.008,0.031,0.042,0.023,275.07,260.996,1.054,5,0,55.32,3,3,6,6,0,18,0.167,0,0,0,0,0,1,0,0,0,0.836,2.175,0.308,34.588,-2.119,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS28,4,16,,None
33,33,CC1(C)OC(=O)CC1C(=O)N1CCCCC1c1ccccn1,-2.679,1.969,2.361,0.913,0.001,0.004,0.016,0.505,-4.721,3.350611586938612e-05,0.916,64.16128540039062%,0.663,42.31636047363281%,0.019,0.142,0.17,0.615,0.046,0.612,0.007,0.283,0.112,0.478,3.701,0.663,0.012,0.503,0.62,0.013,0.099,0.874,0.189,0.408,0.004,0.021,0.199,0.34,2.388,3.208,3.823,0.232,0.019,0.006,0.333,0.13,0.054,0.013,0.134,0.006,0.256,0.089,0.008,302.16,312.101,0.968,5,0,59.5,3,3,6,5,0,19,0.158,2,0,0,0,0,1,1,2,0,0.788,3.354,0.588,64.667,-0.169,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS34,4,16,,None
35,35,CC1(C)OC(=O)CC1C(=O)NCCn1ccnc1-c1ccccc1,-3.08,2.099,1.846,0.032,0.025,0.01,0.007,0.139,-4.561,7.108883437467739e-05,0.72,71.81744384765625%,0.854,38.50897979736328%,0.152,0.078,0.58,0.171,0.255,0.277,0.035,0.214,0.15,0.379,8.691,0.82,0.035,0.15,0.497,0.424,0.203,0.694,0.062,0.643,0.003,0.012,0.146,0.31,2.329,3.004,3.606,0.011,0.005,0.012,0.007,0.123,0.162,0.007,0.084,0.01,0.022,0.024,0.008,327.16,335.121,0.976,6,1,73.22,6,3,6,6,0,18,0.333,1,0,0,0,0,0,0,2,1,0.853,2.984,0.389,58.32,-0.557,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS36,4,16,,None
36,36,Cc1ccc(C(C)C)c(OCCNC(=O)C2CC(=O)OC2(C)C)c1,-4.383,3.853,3.629,0.988,0.002,0.012,0.087,0.695,-4.779,2.459407551214099e-05,0.58,93.96542358398438%,0.736,6.735940456390381%,0.408,0.36,0.859,0.863,0.526,0.338,0.553,0.597,0.754,0.602,7.892,0.424,0.017,0.161,0.507,0.086,0.094,0.044,0.183,0.564,0.003,0.012,0.126,0.426,3.132,4.086,4.253,0.053,0.003,0.019,0.018,0.168,0.188,0.011,0.056,0.005,0.036,0.026,0.011,333.19,353.043,0.944,5,1,64.63,7,2,6,5,0,13,0.538,1,0,0,0,0,0,0,2,0,0.642,2.951,0.579,51.2,-0.12,2,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS37,3,16,,None
45,45,CC1(C)CC(NC(=O)Cn2ccc3c(NS(C)(=O)=O)cccc32)CC(C)(C)N1,-2.677,0.799,0.633,0.164,0.849,0.029,0.006,0.002,-5.248,9.540022438159212e-05,0.312,38.281700134277344%,0.831,62.72440719604492%,0.012,0.105,0.063,0.179,0.005,0.332,0.414,0.487,0.128,0.902,4.256,0.294,0.101,0.648,0.107,0.015,0.02,0.94,0.157,0.062,0.003,0.007,0.193,-0.023,1.625,2.113,2.974,0.016,0.002,0.03,0.001,0.052,0.006,0.011,0.296,0.003,0.005,0.048,0.004,406.2,404.491,1.004,7,3,92.23,6,3,9,8,0,19,0.316,0,0,0,1,0,0,2,0,2,0.711,2.687,0.55,55.742,-1.649,1,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS46,3,16,,None
50,50,CCN1CCCC1CNC(=O)Cn1ccc2c(NC(C)=O)cccc21,-1.626,1.284,0.618,0.393,0.974,0.047,0.03,0.015,-4.868,7.757015737297479e-06,0.684,22.157255172729492%,1.891,74.2261734008789%,0.039,0.106,0.088,0.448,0.016,0.072,0.481,0.426,0.026,0.276,6.902,0.774,0.234,0.592,0.06,0.245,0.037,0.685,0.196,0.591,0.003,0.009,0.265,0.336,2.074,2.35,3.586,0.044,0.003,0.05,0.002,0.213,0.005,0.007,0.063,0.007,0.007,0.029,0.024,342.21,357.26,0.958,6,2,66.37,8,3,9,6,0,17,0.471,1,0,0,3,0,0,4,0,2,0.846,2.734,0.474,55.857,-1.78,0,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS51,4,16,,None
82,82,O=C(CC(Cn1cccc1)c1ccc(Cl)cc1)NCC1CCOCC1,-3.527,3.655,3.214,0.948,0.446,0.006,0.741,0.073,-4.787,4.030067793792114e-05,0.766,90.53820037841797%,1.525,7.620099067687988%,0.35,0.149,0.967,0.085,0.935,0.051,0.87,0.128,0.933,0.303,12.361,0.302,0.572,0.429,0.069,0.061,0.233,0.831,0.283,0.534,0.003,0.018,0.024,0.782,2.854,3.419,4.325,0.003,0.003,0.024,0.053,0.082,0.007,0.004,0.088,0.005,0.654,0.145,0.009,360.16,367.773,0.979,4,1,43.26,8,3,6,5,0,18,0.444,1,1,0,0,0,2,0,1,1,0.814,2.934,0.45,50.172,-0.962,0,0,0,0,Accepted,Rejected,Accepted,Accepted,EOS83,3,16,,None
84,84,Oc1cc(C(O)N2CCCC2)cn1-c1[nH]nc2ccccc12,-3.181,1.861,1.521,0.001,0.004,0.052,0.386,0.371,-4.807,6.301552275544964e-06,0.904,47.985992431640625%,1.752,37.00300598144531%,0.144,0.814,0.053,0.097,0.067,0.82,0.168,0.879,0.073,0.572,3.81,0.684,0.09,0.231,0.687,0.053,0.055,0.93,0.141,0.183,0.003,0.011,0.779,0.5,1.76,2.707,4.2,0.022,0.006,0.441,0.255,0.154,0.008,0.007,0.19,0.014,0.009,0.202,0.188,298.14,296.815,1.004,6,3,77.31,3,4,9,6,0,20,0.15,1,0,0,0,0,0,0,0,2,0.692,3.591,0.312,67.619,-0.856,0,1,0,0,Accepted,Accepted,Accepted,Accepted,EOS85,4,16,,None
101,101,COc1ccc(CCn2c(O)c(CCC(=O)NCc3cccn3C)[nH]c2=O)cc1,-2.047,1.374,0.603,0.661,0.986,0.47,0.058,0.75,-5.298,1.0549351827648934e-05,0.208,77.29881286621094%,1.112,11.413317680358887%,0.087,0.63,0.573,0.069,0.674,0.639,0.721,0.862,0.752,0.314,6.668,0.885,0.052,0.688,0.475,0.088,0.018,0.22,0.043,0.182,0.003,0.007,0.017,0.38,1.969,2.664,4.03,0.013,0.005,0.132,0.004,0.1,0.01,0.003,0.031,0.007,0.003,0.011,0.007,398.2,404.159,0.985,8,3,101.28,10,3,6,8,0,18,0.556,0,0,0,0,0,0,1,0,2,0.511,2.599,0.333,18.0,-1.188,1,0,0,0,Accepted,Accepted,Accepted,Accepted,EOS102,4,16,,None
116,116,COc1ccc(Cn2c(O)c(CCC(=O)NCCc3ccc(O)cc3)[nH]c2=O)cc1OC,-3.384,1.851,1.003,0.02,0.99,0.853,0.964,0.815,-5.296,8.77682487043785e-06,0.016,93.14422607421875%,0.58,3.9841604232788086%,0.191,0.691,0.489,0.063,0.877,0.761,0.887,0.514,0.854,0.439,10.216,0.946,0.048,0.497,0.224,0.021,0.009,0.149,0.044,0.027,0.003,0.008,0.016,0.547,2.392,3.275,5.019,0.029,0.005,0.147,0.01,0.274,0.019,0.004,0.133,0.029,0.003,0.053,0.025,441.19,442.698,0.997,9,4,125.81,11,3,6,9,0,19,0.579,0,0,0,0,0,0,2,0,2,0.381,2.444,0.304,19.0,-0.58,1,0,0,0,Accepted,Accepted,Rejected,Accepted,EOS117,3,16,,None
