,5rm2_A_fpocket,5rm2_B_fpocket,5rm2_A_p2rank,5rm2_B_p2rank,IoU
847,22,22,9,5,0.32
802,17,17,7,9,0.2354
896,25,25,8,11,0.2142
651,12,12,14,13,0.2122
810,17,26,7,9,0.2106
496,7,7,6,4,0.2041
508,7,11,6,4,0.1852
389,4,4,18,15,0.1731
324,3,3,1,2,0.1697
312,3,2,1,2,0.1666
804,17,17,7,14,0.1666
264,2,10,2,1,0.1595
848,22,22,9,6,0.1538
703,13,13,6,4,0.1522
812,17,26,7,14,0.15
188,2,2,2,1,0.15
395,4,5,18,15,0.15
477,6,6,10,12,0.1428
935,29,29,18,15,0.1428
748,14,14,2,1,0.1389
696,13,11,6,4,0.1372
890,24,24,18,15,0.1333
524,7,13,6,4,0.1321
682,13,7,6,4,0.1273
486,6,28,10,12,0.1228
732,14,6,2,1,0.1184
864,24,4,18,15,0.1111
886,24,21,18,15,0.1094
4,1,1,3,3,0.10925
247,2,8,2,1,0.10785
868,24,5,18,15,0.1053
851,22,23,9,5,0.1042
433,4,24,18,15,0.09875
845,22,22,1,6,0.09753
383,4,4,2,1,0.0972
843,22,22,1,2,0.0952
231,2,6,2,1,0.094
9,1,1,4,7,0.0932
429,4,21,18,15,0.0897
785,17,11,7,9,0.0862
12,1,1,5,3,0.08405
525,7,17,6,4,0.08
721,14,4,2,1,0.07794
390,4,5,2,1,0.0759
51,1,3,4,7,0.07587
46,1,3,3,3,0.07587
646,12,12,7,9,0.075
544,8,25,8,11,0.0741
844,22,22,1,5,0.0714
550,9,9,18,15,0.0714
742,14,10,2,1,0.0714
396,4,6,2,1,0.0714
919,29,4,18,15,0.0702
54,1,3,5,3,0.069
799,17,17,6,4,0.0682
791,17,12,7,9,0.0682
542,8,8,8,11,0.0678
436,4,29,18,15,0.0678
922,29,5,18,15,0.06665
770,16,16,10,12,0.06525
543,8,9,8,11,0.06525
340,3,8,1,2,0.06525
447,5,5,2,1,0.06494
443,5,4,2,1,0.06494
186,2,2,1,2,0.06366
894,25,8,8,11,0.0635
895,25,9,8,11,0.0625
656,12,17,7,9,0.0625
290,2,14,2,1,0.06195
417,4,14,2,1,0.06186
728,14,5,2,1,0.06174
528,7,17,7,9,0.06122
768,16,13,10,12,0.06
359,3,22,9,5,0.05884
807,17,26,6,4,0.05884
662,12,26,7,9,0.05768
251,2,8,3,3,0.05768
111,1,10,2,1,0.05756
208,2,3,2,1,0.0573
0,1,1,2,1,0.05673
499,7,7,7,9,0.0566
712,14,2,2,1,0.05646
537,7,26,7,9,0.05554
245,2,8,1,2,0.05505
98,1,8,3,3,0.0547
546,9,4,18,15,0.05356
893,24,29,18,15,0.05356
534,7,26,6,4,0.05264
483,6,16,10,12,0.05264
777,17,7,7,9,0.05264
451,5,6,2,1,0.05264
930,29,21,18,15,0.05173
782,17,11,6,4,0.05173
511,7,11,7,9,0.05173
24,1,1,16,10,0.05084
771,16,28,10,12,0.05084
787,17,11,7,14,0.05
272,2,10,5,3,0.05
774,17,7,6,4,0.05
170,2,1,2,1,0.05
909,26,26,5,3,0.05
482,6,13,10,12,0.05
737,14,8,2,1,0.04938
548,9,5,18,15,0.0492
192,2,2,3,3,0.04877
42,1,3,2,1,0.0485
94,1,8,2,1,0.04828
262,2,8,13,3,0.04807
806,17,17,14,13,0.0476
932,29,24,18,15,0.0476
206,2,3,1,2,0.04697
409,4,9,18,15,0.04688
595,10,10,2,1,0.04614
644,12,12,4,13,0.04544
795,17,12,14,13,0.04544
356,3,22,1,2,0.04477
358,3,22,1,6,0.04477
643,12,12,4,7,0.04443
385,4,4,2,15,0.04413
360,3,22,9,6,0.04413
872,24,9,18,15,0.04413
27,1,2,2,1,0.0437
814,17,26,14,13,0.0435
388,4,4,11,1,0.04285
222,2,4,2,1,0.04272
459,5,14,2,1,0.04254
645,12,12,6,4,0.04254
352,3,13,6,4,0.04254
836,22,2,9,5,0.04236
554,9,24,18,15,0.04227
271,2,10,5,1,0.0421
660,12,17,14,13,0.04166
674,13,2,6,4,0.04132
349,3,11,6,4,0.04123
339,3,7,6,4,0.04123
599,10,10,5,3,0.0411
852,22,23,9,6,0.0408
205,2,2,13,3,0.04065
197,2,2,5,3,0.04
391,4,5,2,15,0.04
174,2,1,3,3,0.03973
144,1,15,5,3,0.03967
491,7,2,6,4,0.03967
403,4,8,2,1,0.0396
445,5,4,11,1,0.03946
449,5,5,11,1,0.03946
119,1,10,5,3,0.03906
766,16,6,10,12,0.03897
666,12,26,14,13,0.03845
394,4,5,11,1,0.03845
354,3,18,1,2,0.03845
516,7,12,6,4,0.03845
704,13,17,6,4,0.03845
889,24,24,5,3,0.03705
934,29,29,2,15,0.03705
517,7,12,7,9,0.03638
697,13,12,6,4,0.03638
572,10,4,2,1,0.0357
327,3,3,1,6,0.0357
315,3,2,1,6,0.0351
363,3,23,9,5,0.03488
331,3,3,9,5,0.0345
78,1,6,2,1,0.0345
484,6,19,10,12,0.0345
410,4,10,2,1,0.0345
31,1,2,3,3,0.0345
832,22,2,1,2,0.03418
834,22,2,1,6,0.03418
372,4,2,2,1,0.03403
319,3,2,9,5,0.0339
837,22,2,9,6,0.0339
196,2,2,5,1,0.03333
841,22,3,9,5,0.03333
823,19,19,5,3,0.03333
590,10,8,2,1,0.03333
179,2,1,5,3,0.0331
19,1,1,13,3,0.03305
227,2,5,2,1,0.03278
238,2,6,5,1,0.03278
216,2,3,5,3,0.03268
212,2,3,3,3,0.03268
221,2,3,13,3,0.03268
585,10,6,2,1,0.03262
330,3,3,6,4,0.03253
318,3,2,6,4,0.03253
485,6,28,10,10,0.03226
452,5,6,11,1,0.03226
698,13,13,1,2,0.03174
631,12,7,6,4,0.03174
453,5,8,2,1,0.03125
678,13,3,6,4,0.03125
652,12,13,6,4,0.03125
110,1,8,13,3,0.031
270,2,10,4,7,0.03093
637,12,11,6,4,0.03076
493,7,3,6,4,0.03076
598,10,10,5,1,0.03076
239,2,6,5,3,0.03076
632,12,7,7,9,0.0303
654,12,14,14,13,0.0303
118,1,10,5,1,0.03008
401,4,6,11,1,0.03
552,9,21,18,15,0.02985
11,1,1,5,1,0.02985
469,6,1,10,12,0.02985
357,3,22,1,5,0.02942
638,12,11,7,9,0.02942
476,6,6,10,10,0.02899
86,1,6,5,3,0.02899
36,1,2,5,3,0.02873
904,26,16,5,3,0.02856
256,2,8,5,3,0.0283
699,13,13,2,1,0.02817
265,2,10,2,3,0.02803
346,3,8,13,3,0.02803
85,1,6,5,1,0.02797
439,5,2,2,1,0.02797
918,29,4,2,15,0.0274
691,13,11,1,2,0.0274
60,1,3,13,3,0.0274
753,14,14,11,1,0.02702
435,4,29,2,15,0.02667
475,6,6,4,7,0.02667
726,14,4,11,1,0.02667
215,2,3,5,1,0.02649
185,2,1,13,3,0.02649
248,2,8,2,3,0.02632
145,1,16,3,3,0.02632
650,12,12,14,9,0.02632
148,1,16,5,3,0.02632
921,29,5,2,15,0.02632
686,13,10,2,1,0.02632
387,4,4,5,3,0.02597
178,2,1,5,1,0.02597
332,3,3,9,6,0.02586
386,4,4,5,1,0.02563
226,2,4,11,1,0.02563
320,3,2,9,6,0.02542
833,22,2,1,5,0.02542
335,3,3,13,3,0.0252
838,22,3,1,2,0.0252
8,1,1,4,3,0.0252
840,22,3,1,6,0.0252
22,1,1,16,3,0.0252
53,1,3,5,1,0.02516
805,17,17,14,9,0.025
736,14,6,11,1,0.025
730,14,5,11,1,0.025
902,26,15,5,3,0.025
647,12,12,7,13,0.025
128,1,12,14,13,0.025
842,22,3,9,6,0.025
161,1,26,5,3,0.0248
200,2,2,11,1,0.0248
240,2,6,11,1,0.0248
692,13,11,2,1,0.02469
230,2,5,11,1,0.0246
195,2,2,4,7,0.0246
629,12,3,14,13,0.0246
801,17,17,7,4,0.02438
803,17,17,7,13,0.02438
164,1,28,10,12,0.02438
21,1,1,14,13,0.024
14,1,1,10,12,0.024
846,22,22,9,2,0.0238
898,26,1,5,3,0.0238
457,5,10,2,1,0.0238
648,12,12,7,14,0.0238
117,1,10,4,7,0.02362
323,3,2,13,3,0.02362
885,24,21,5,3,0.02353
887,24,24,2,15,0.02353
891,24,26,5,3,0.02353
560,10,1,5,3,0.02344
105,1,8,5,3,0.02344
364,3,23,9,6,0.02325
649,12,12,14,7,0.02325
800,17,17,6,9,0.02325
593,10,8,5,3,0.02325
900,26,3,5,3,0.02325
907,26,24,5,3,0.023
41,1,2,13,3,0.023
861,24,4,2,15,0.02272
562,10,2,2,1,0.02272
792,17,12,7,13,0.02272
813,17,26,14,9,0.02272
794,17,12,14,9,0.02272
623,12,1,14,13,0.02272
576,10,4,5,3,0.02272
556,9,29,18,15,0.02272
35,1,2,5,1,0.0226
189,2,2,2,3,0.02255
579,10,5,2,1,0.02248
575,10,4,5,1,0.02248
570,10,3,5,3,0.02238
351,3,13,1,2,0.02222
454,5,8,11,1,0.02222
811,17,26,7,13,0.02222
602,10,14,2,1,0.02222
883,24,21,2,15,0.02197
460,5,14,11,1,0.02197
88,1,6,10,12,0.0219
84,1,6,4,7,0.0219
865,24,5,2,15,0.02174
793,17,12,7,14,0.02174
565,10,2,5,3,0.02174
440,5,2,11,1,0.02174
1,1,1,2,3,0.02158
413,4,10,5,1,0.0215
345,3,8,13,2,0.0215
112,1,10,2,3,0.02142
426,4,21,2,15,0.02127
430,4,24,2,15,0.02106
267,2,10,3,1,0.02106
260,2,8,13,1,0.02106
95,1,8,2,3,0.02098
158,1,24,5,3,0.02098
809,17,26,7,4,0.02083
808,17,26,6,9,0.02083
659,12,17,14,9,0.02083
657,12,17,7,13,0.02083
927,29,9,18,15,0.02083
50,1,3,4,3,0.02069
587,10,6,5,1,0.02061
567,10,3,2,1,0.02055
854,24,1,5,3,0.02055
422,4,14,11,1,0.0204
526,7,17,6,9,0.0204
521,7,12,14,13,0.0204
268,2,10,3,3,0.0204
348,3,11,1,2,0.0204
214,2,3,4,7,0.02026
859,24,3,5,3,0.02014
557,10,1,2,1,0.02014
658,12,17,7,14,0.02
830,21,17,6,4,0.02
527,7,17,7,4,0.02
67,1,4,2,1,0.02
376,4,2,11,1,0.02
880,24,15,5,3,0.02
62,1,3,14,13,0.02
177,2,1,4,7,0.01987
250,2,8,3,1,0.0198
497,7,7,6,9,0.0196
769,16,16,4,7,0.0196
255,2,8,5,1,0.0196
407,4,8,11,1,0.0196
257,2,8,11,1,0.0196
530,7,17,7,14,0.0196
588,10,6,5,3,0.01942
266,2,10,2,7,0.01942
377,4,3,2,1,0.01935
665,12,26,14,9,0.01923
663,12,26,7,13,0.01923
258,2,8,12,3,0.01923
414,4,10,5,3,0.01904
399,4,6,5,1,0.01904
261,2,8,13,2,0.01888
520,7,12,14,9,0.01888
171,2,1,2,3,0.01875
343,3,8,3,3,0.01869
664,12,26,7,14,0.01852
701,13,13,4,7,0.01852
503,7,7,14,13,0.01852
933,29,29,2,1,0.01852
209,2,3,2,3,0.01852
535,7,26,6,9,0.01852
43,1,3,2,3,0.0184
531,7,17,14,9,0.01819
501,7,7,7,14,0.01819
366,4,1,2,1,0.01819
529,7,17,7,13,0.01819
518,7,12,7,13,0.01819
204,2,2,13,2,0.01819
767,16,13,4,7,0.01819
400,4,6,5,3,0.01802
498,7,7,7,4,0.01785
790,17,12,6,4,0.01785
532,7,17,14,13,0.01785
539,7,26,7,14,0.01785
285,2,13,2,1,0.0177
334,3,3,13,2,0.0177
203,2,2,13,1,0.0177
536,7,26,7,4,0.01755
509,7,11,6,9,0.01755
519,7,12,7,14,0.01755
450,5,5,18,15,0.01755
322,3,2,13,2,0.01755
775,17,7,6,9,0.01755
655,12,17,6,4,0.01755
297,2,15,5,1,0.0174
241,2,6,13,1,0.0174
502,7,7,14,9,0.01724
466,5,29,18,15,0.01724
510,7,11,7,4,0.01724
783,17,11,6,9,0.01724
34,1,2,4,7,0.01724
326,3,3,1,5,0.01724
784,17,11,7,4,0.01724
446,5,4,18,15,0.01724
669,13,2,1,2,0.01724
294,2,14,11,1,0.01709
314,3,2,1,5,0.01695
779,17,7,7,14,0.01695
153,1,19,5,3,0.01695
5,1,1,3,7,0.01695
6,1,1,3,10,0.01695
481,6,12,14,13,0.01695
822,19,19,3,3,0.01695
707,13,26,6,4,0.01695
329,3,3,3,3,0.0168
16,1,1,12,3,0.0168
754,14,14,18,15,0.01666
298,2,15,5,3,0.01666
540,7,26,14,9,0.01666
538,7,26,7,13,0.01666
126,1,12,4,13,0.01666
839,22,3,1,5,0.01666
776,17,7,7,4,0.01666
513,7,11,7,14,0.01666
796,17,13,6,4,0.01666
636,12,7,14,13,0.01666
191,2,2,3,1,0.01666
500,7,7,7,13,0.01666
166,1,28,16,10,0.01666
125,1,12,4,7,0.01666
761,14,29,2,1,0.01639
727,14,4,18,15,0.01639
816,19,1,5,3,0.01639
279,2,11,2,1,0.01639
488,6,28,16,12,0.01639
28,1,2,2,3,0.01639
541,7,26,14,13,0.01639
908,26,26,3,3,0.01639
626,12,3,4,13,0.01639
625,12,3,4,7,0.01639
601,10,10,18,15,0.01639
163,1,28,10,10,0.01627
201,2,2,12,3,0.01627
515,7,11,14,13,0.01613
487,6,28,16,10,0.01613
224,2,4,5,1,0.01613
456,5,9,18,15,0.01613
10,1,1,4,13,0.01613
675,13,3,1,2,0.01613
13,1,1,10,10,0.01613
600,10,10,11,1,0.01613
130,1,13,4,7,0.016
916,28,28,5,3,0.01587
797,17,14,7,9,0.01587
778,17,7,7,13,0.01587
670,13,2,2,1,0.01587
780,17,7,14,9,0.01587
140,1,15,3,3,0.01587
317,3,2,3,3,0.01575
578,10,4,18,15,0.01563
635,12,7,14,9,0.01563
831,21,21,6,4,0.01563
115,1,10,3,3,0.01563
514,7,11,14,9,0.01563
103,1,8,4,7,0.01563
716,14,2,11,1,0.01563
107,1,8,12,3,0.01563
915,28,19,5,3,0.01563
304,2,24,2,1,0.01563
788,17,11,14,9,0.01563
661,12,26,6,4,0.01563
139,1,14,16,10,0.01563
781,17,7,14,13,0.01563
786,17,11,7,13,0.01563
818,19,3,5,3,0.0155
190,2,2,2,7,0.0155
232,2,6,2,3,0.01538
829,21,13,6,4,0.01538
789,17,11,14,13,0.01538
694,13,11,4,7,0.01538
474,6,3,10,12,0.01538
472,6,3,4,7,0.01538
849,22,23,1,5,0.01538
850,22,23,1,6,0.01538
512,7,11,7,13,0.01538
642,12,11,14,13,0.01538
225,2,4,5,3,0.01527
633,12,7,7,13,0.01515
621,12,1,4,13,0.01515
620,12,1,4,7,0.01515
826,19,28,5,3,0.01515
731,14,5,18,15,0.01515
564,10,2,5,1,0.01504
114,1,10,3,1,0.01504
3,1,1,3,1,0.01492
641,12,11,14,9,0.01492
468,6,1,10,10,0.01492
467,6,1,4,7,0.01492
763,16,1,10,12,0.01482
825,19,26,5,3,0.01471
634,12,7,7,14,0.01471
690,13,10,6,4,0.01471
702,13,13,6,1,0.01471
639,12,11,7,13,0.01471
480,6,6,16,12,0.01471
87,1,6,10,10,0.014595
479,6,6,16,10,0.014496
70,1,4,5,3,0.014496
828,21,11,6,4,0.014496
549,9,9,2,15,0.014496
827,21,7,6,4,0.014496
155,1,21,5,3,0.014496
2,1,1,2,7,0.014496
494,7,7,1,2,0.014496
717,14,3,2,1,0.014496
104,1,8,5,1,0.01439
97,1,8,3,1,0.01439
113,1,10,2,7,0.01439
143,1,15,5,1,0.01428
555,9,29,2,15,0.01428
584,10,5,18,15,0.01428
614,10,21,18,15,0.01428
798,17,14,14,13,0.01428
640,12,11,7,14,0.01428
905,26,19,5,3,0.01428
132,1,14,2,1,0.01428
821,19,16,3,3,0.01428
569,10,3,5,1,0.01418
903,26,16,3,3,0.014084
495,7,7,6,1,0.014084
705,13,21,6,4,0.014084
559,10,1,5,1,0.013985
545,9,4,2,15,0.013885
478,6,6,14,13,0.013885
79,1,6,2,3,0.013885
597,10,10,2,15,0.013885
47,1,3,3,7,0.013794
653,12,14,7,9,0.0137
533,7,21,6,4,0.0137
695,13,11,6,1,0.0137
745,14,10,5,1,0.0137
444,5,4,2,15,0.0137
448,5,5,2,15,0.0137
723,14,4,2,15,0.0137
505,7,10,6,4,0.01351
708,14,1,2,1,0.01351
750,14,14,2,15,0.01351
689,13,10,6,1,0.01351
747,14,10,18,15,0.01351
752,14,14,5,3,0.01351
757,14,21,18,15,0.01351
926,29,9,2,15,0.01351
610,10,19,5,3,0.01351
69,1,4,5,1,0.01342
220,2,3,13,2,0.01342
522,7,13,1,2,0.013336
688,13,10,4,7,0.013336
523,7,13,6,1,0.013336
52,1,3,4,13,0.013336
751,14,14,5,1,0.013336
219,2,3,13,1,0.013245
181,2,1,12,3,0.013245
619,10,28,5,3,0.01316
760,14,24,18,15,0.01316
618,10,24,18,15,0.01316
380,4,3,5,3,0.01316
211,2,3,3,1,0.01316
507,7,11,6,1,0.01316
506,7,11,1,2,0.01316
56,1,3,10,12,0.01307
369,4,1,5,3,0.01307
681,13,7,6,1,0.012985
173,2,1,3,1,0.012985
700,13,13,2,7,0.012985
374,4,2,5,1,0.012985
680,13,7,1,2,0.012985
744,14,10,2,15,0.012985
465,5,29,2,15,0.012985
917,29,4,2,1,0.012985
441,5,3,2,1,0.012985
925,29,6,18,15,0.012985
547,9,5,2,15,0.012985
729,14,5,2,15,0.012985
379,4,3,5,1,0.0129
73,1,5,2,1,0.0129
210,2,3,2,7,0.01274
504,7,10,6,1,0.01266
928,29,14,2,1,0.01266
434,4,29,2,1,0.01266
45,1,3,3,1,0.01258
458,5,10,11,1,0.0125
920,29,5,2,1,0.0125
914,28,10,5,3,0.0125
607,10,14,18,15,0.0125
172,2,1,2,7,0.0125
574,10,4,2,15,0.0125
408,4,9,2,15,0.0125
355,3,18,13,2,0.0125
375,4,2,5,3,0.01242
901,26,15,3,3,0.012344
820,19,10,5,3,0.012344
423,4,14,18,15,0.012344
44,1,3,2,7,0.01227
437,5,1,2,1,0.01219
734,14,6,5,1,0.01219
630,12,6,14,13,0.01219
577,10,4,11,1,0.01219
892,24,29,2,15,0.01219
923,29,6,2,1,0.01219
368,4,1,5,1,0.01219
455,5,9,2,15,0.01219
462,5,21,18,15,0.01219
311,3,1,13,3,0.01212
309,3,1,3,3,0.01212
913,28,8,5,3,0.01205
724,14,4,5,1,0.01205
741,14,8,11,1,0.01205
819,19,8,5,3,0.01205
906,26,21,5,3,0.01205
596,10,10,2,3,0.0119
929,29,21,2,15,0.0119
739,14,8,5,1,0.0119
416,4,10,18,15,0.0119
755,14,15,2,1,0.011765
924,29,6,2,15,0.011765
687,13,10,2,7,0.011765
362,3,23,1,6,0.011765
393,4,5,5,3,0.011765
580,10,5,2,15,0.011765
685,13,10,1,2,0.011765
725,14,4,5,3,0.01163
392,4,5,5,1,0.01163
683,13,8,1,2,0.01163
876,24,10,18,15,0.01163
888,24,24,5,1,0.01163
749,14,14,2,3,0.01163
746,14,10,5,3,0.01163
740,14,8,5,3,0.01163
594,10,8,11,1,0.01163
361,3,23,1,5,0.01163
684,13,8,2,1,0.0115
931,29,24,2,15,0.0115
412,4,10,2,15,0.0115
38,1,2,12,3,0.0115
583,10,5,11,1,0.01136
464,5,24,18,15,0.01136
276,2,10,13,1,0.01136
609,10,15,5,3,0.01136
