,7nio_A_fpocket,7nio_E_fpocket,7nio_A_p2rank,7nio_E_p2rank,IoMIN
4713,13,27,10,13,1.0
4639,13,16,10,13,1.0
5162,15,14,8,9,1.0
5120,15,6,8,9,1.0
4964,14,21,8,9,1.0
4942,14,17,8,9,1.0
4927,14,15,8,9,1.0
4915,14,14,8,9,1.0
4836,14,6,8,9,1.0
8156,27,19,10,13,1.0
4701,13,25,10,13,1.0
4662,13,19,10,13,1.0
4614,13,13,10,13,1.0
5179,15,17,8,9,1.0
4612,13,13,7,5,1.0
4592,13,11,7,5,1.0
4562,13,8,7,5,1.0
4549,13,7,7,5,1.0
4303,11,13,7,5,1.0
4289,11,11,7,5,1.0
4275,11,8,7,5,1.0
4267,11,7,7,5,1.0
3261,8,13,7,5,1.0
3244,8,11,7,5,1.0
5171,15,15,8,9,1.0
5197,15,21,8,9,1.0
3181,8,7,7,5,1.0
6491,21,15,8,9,1.0
8198,27,25,10,13,1.0
8092,27,13,10,13,1.0
8217,27,27,10,13,1.0
7736,25,27,10,13,1.0
7725,25,25,10,13,1.0
7690,25,19,10,13,1.0
7674,25,16,10,13,1.0
7652,25,13,10,13,1.0
6524,21,21,8,9,1.0
6501,21,17,8,9,1.0
6484,21,14,8,9,1.0
5383,16,13,10,13,1.0
6436,21,6,8,9,1.0
6330,19,27,10,13,1.0
6312,19,25,10,13,1.0
6259,19,19,10,13,1.0
6223,19,16,10,13,1.0
6197,19,13,10,13,1.0
5498,16,27,10,13,1.0
5482,16,25,10,13,1.0
5440,16,19,10,13,1.0
5412,16,16,10,13,1.0
3199,8,8,7,5,1.0
8125,27,16,10,13,1.0
2566,6,14,8,9,1.0
2577,6,15,8,9,1.0
2875,7,8,7,5,1.0
2900,7,11,7,5,1.0
2918,7,13,7,5,1.0
2483,6,6,8,9,1.0
2859,7,7,7,5,1.0
2595,6,17,8,9,1.0
2631,6,21,8,9,1.0
1914,5,2,2,2,0.9565
3975,10,10,2,2,0.9565
1167,3,10,2,2,0.9565
2085,5,10,2,2,0.9565
601,2,5,2,2,0.9565
3847,10,3,2,2,0.9565
693,2,10,2,2,0.9565
1940,5,3,2,2,0.9565
557,2,3,2,2,0.9565
3824,10,2,2,2,0.9565
995,3,2,2,2,0.9565
3889,10,5,2,2,0.9565
533,2,2,2,2,0.9565
1069,3,5,2,2,0.9565
1988,5,5,2,2,0.9565
1021,3,3,2,2,0.9565
1950,5,3,4,4,0.9375
1974,5,4,4,4,0.9375
1515,4,3,4,4,0.9375
1924,5,2,4,4,0.9375
1998,5,5,4,4,0.9375
110,1,5,4,4,0.9375
1493,4,2,4,4,0.9375
1559,4,5,4,4,0.9375
1898,5,1,4,4,0.9375
3078,8,2,4,4,0.9375
1537,4,4,4,4,0.9375
1031,3,3,4,4,0.9375
3056,8,1,4,4,0.9375
169,1,8,4,4,0.9375
14,1,1,4,4,0.9375
979,3,1,4,4,0.9375
3121,8,4,4,4,0.9375
40,1,2,4,4,0.9375
3100,8,3,4,4,0.9375
1005,3,2,4,4,0.9375
1471,4,1,4,4,0.9375
1609,4,8,4,4,0.9375
1079,3,5,4,4,0.9375
1055,3,4,4,4,0.9375
64,1,3,4,4,0.9375
3141,8,5,4,4,0.9375
3196,8,8,4,4,0.9375
2054,5,8,4,4,0.9375
1136,3,8,4,4,0.9375
88,1,4,4,4,0.9375
8341,28,14,8,9,0.909
2706,6,28,8,9,0.909
5023,14,28,8,9,0.909
6568,21,28,8,9,0.909
8315,28,6,8,9,0.909
8392,28,28,8,9,0.909
8367,28,21,8,9,0.909
8345,28,15,8,9,0.909
5236,15,28,8,9,0.909
8353,28,17,8,9,0.909
3986,10,10,5,7,0.9
3588,9,5,5,7,0.9
1539,4,4,5,7,0.9
3900,10,5,5,7,0.9
1627,4,9,5,7,0.9
3966,10,9,5,7,0.9
6257,19,19,5,7,0.9
4084,10,19,5,7,0.9
2205,5,19,5,7,0.9
6183,19,10,5,7,0.9
3573,9,4,5,7,0.9
3879,10,4,5,7,0.9
6165,19,9,5,7,0.9
1647,4,10,5,7,0.9
1731,4,19,5,7,0.9
1561,4,5,5,7,0.9
2096,5,10,5,7,0.9
2000,5,5,5,7,0.9
3650,9,10,5,7,0.9
3634,9,9,5,7,0.9
1976,5,4,5,7,0.9
6092,19,4,5,7,0.9
6110,19,5,5,7,0.9
3704,9,19,5,7,0.9
2074,5,9,5,7,0.9
2122,5,13,7,5,0.8887
9100,33,11,7,5,0.8887
3481,8,33,7,5,0.8887
5687,17,32,6,8,0.8887
4349,11,33,7,5,0.8887
9108,33,13,7,5,0.8887
5672,17,26,6,8,0.8887
9114,33,15,6,8,0.8887
8933,32,17,6,8,0.8887
7932,26,32,6,8,0.8887
5692,17,33,6,8,0.8887
9094,33,8,7,5,0.8887
2001,5,5,7,5,0.8887
9089,33,7,7,5,0.8887
4524,13,5,7,5,0.8887
4738,13,33,7,5,0.8887
9040,32,33,6,8,0.8887
3142,8,5,7,5,0.8887
7869,26,17,6,8,0.8887
8920,32,15,6,8,0.8887
2833,7,5,7,5,0.8887
9119,33,17,6,8,0.8887
2106,5,11,7,5,0.8887
5658,17,22,6,8,0.8887
9125,33,22,6,8,0.8887
7913,26,26,6,8,0.8887
6896,22,26,6,8,0.8887
6862,22,22,6,8,0.8887
6949,22,32,6,8,0.8887
5638,17,17,6,8,0.8887
6953,22,33,6,8,0.8887
5629,17,15,6,8,0.8887
7889,26,22,6,8,0.8887
6805,22,17,6,8,0.8887
2057,5,8,7,5,0.8887
7863,26,15,6,8,0.8887
6790,22,15,6,8,0.8887
9145,33,33,7,5,0.8887
9144,33,33,6,8,0.8887
9139,33,32,6,8,0.8887
8998,32,26,6,8,0.8887
9036,32,32,6,8,0.8887
8979,32,22,6,8,0.8887
9132,33,26,6,8,0.8887
7936,26,33,6,8,0.8887
4254,11,5,7,5,0.8887
3021,7,33,7,5,0.8887
2038,5,7,7,5,0.8887
1532,4,4,3,1,0.875
1488,4,2,3,1,0.875
35,1,2,3,1,0.875
1466,4,1,3,1,0.875
9,1,1,3,1,0.875
584,2,4,3,1,0.875
514,2,1,3,1,0.875
538,2,2,3,1,0.875
83,1,4,3,1,0.875
7006,23,2,2,2,0.8696
1326,3,23,2,2,0.8696
7123,23,10,2,2,0.8696
840,2,23,2,2,0.8696
4116,10,23,2,2,0.8696
7056,23,5,2,2,0.8696
7225,23,23,2,2,0.8696
2246,5,23,2,2,0.8696
7024,23,3,2,2,0.8696
1160,3,9,12,12,0.8335
1145,3,8,12,12,0.8335
1125,3,8,1,6,0.8335
5913,18,21,12,12,0.8335
1093,3,6,1,6,0.8335
5947,18,24,12,12,0.8335
1067,3,5,1,6,0.8335
5928,18,22,12,12,0.8335
1062,3,4,12,12,0.8335
1088,3,5,12,12,0.8335
6740,22,9,12,12,0.8335
1050,3,4,3,1,0.8335
623,2,6,1,6,0.8335
7399,24,8,12,12,0.8335
7407,24,9,12,12,0.8335
7469,24,18,12,12,0.8335
7488,24,21,12,12,0.8335
7494,24,22,12,12,0.8335
655,2,8,1,6,0.8335
7517,24,24,12,12,0.8335
599,2,5,1,6,0.8335
1040,3,3,12,12,0.8335
562,2,3,3,1,0.8335
2500,6,8,1,6,0.8335
555,2,3,1,6,0.8335
4,1,1,1,6,0.8335
531,2,2,1,6,0.8335
509,2,1,1,6,0.8335
2473,6,6,1,6,0.8335
7372,24,5,12,12,0.8335
7358,24,4,12,12,0.8335
7347,24,3,12,12,0.8335
6888,22,24,12,12,0.8335
1026,3,3,3,1,0.8335
1019,3,3,1,6,0.8335
2403,6,2,1,6,0.8335
1000,3,2,3,1,0.8335
993,3,2,1,6,0.8335
974,3,1,3,1,0.8335
969,3,1,1,6,0.8335
2421,6,3,1,6,0.8335
6643,22,3,12,12,0.8335
6662,22,4,12,12,0.8335
6681,22,5,12,12,0.8335
6729,22,8,12,12,0.8335
6824,22,18,12,12,0.8335
6845,22,21,12,12,0.8335
6867,22,22,12,12,0.8335
5893,18,18,12,12,0.8335
3153,8,6,1,6,0.8335
2455,6,5,1,6,0.8335
2239,5,22,12,12,0.8335
3577,9,4,12,12,0.8335
1787,4,24,12,12,0.8335
159,1,8,1,6,0.8335
