,7nio_A_fpocket,7nio_E_fpocket,7nio_A_p2rank,7nio_E_p2rank,IoU
9824,37,37,2,2,0.2373
1523,4,4,1,1,0.133
2469,6,6,1,1,0.1309
1982,5,5,1,1,0.1245
9027,32,32,3,1,0.12396
3975,10,10,2,2,0.1215
8392,28,28,8,9,0.1205
7225,23,23,2,2,0.1205
527,2,2,1,1,0.1169
1015,3,3,1,1,0.1159
3969,10,10,1,1,0.1156
0,1,1,1,1,0.1111
9144,33,33,6,8,0.1053
9145,33,33,7,5,0.10254
3182,8,8,1,1,0.1024
9407,34,34,1,1,0.10236
989,3,2,1,1,0.10077
1960,5,4,1,1,0.0997
1532,4,4,3,1,0.09955
1063,3,5,1,1,0.09924
1545,4,5,1,1,0.099
551,2,3,1,1,0.0985
533,2,2,2,2,0.0965
2475,6,6,2,2,0.09644
1021,3,3,2,2,0.09607
1884,5,1,1,1,0.0958
3188,8,8,2,2,0.09546
1934,5,3,1,1,0.0954
9036,32,32,6,8,0.0952
96,1,5,1,1,0.0952
4903,14,14,1,1,0.095
2850,7,7,3,1,0.09357
1041,3,4,1,1,0.0935
74,1,4,1,1,0.09326
1457,4,1,1,1,0.09326
1988,5,5,2,2,0.0932
595,2,5,1,1,0.09186
2451,6,5,1,1,0.0918
1908,5,2,1,1,0.09155
538,2,2,3,1,0.0909
965,3,1,1,1,0.09
1501,4,3,1,1,0.08936
2525,6,10,1,1,0.08923
2381,6,1,1,1,0.08887
6524,21,21,8,9,0.0887
2008,5,6,1,1,0.0875
120,1,6,1,1,0.0875
50,1,3,1,1,0.0871
575,2,4,1,1,0.087
505,2,1,1,1,0.0868
2435,6,4,1,1,0.08655
1026,3,3,3,1,0.0858
1479,4,2,1,1,0.0858
26,1,2,1,1,0.0857
6255,19,19,4,4,0.0855
619,2,6,1,1,0.0847
2399,6,2,1,1,0.0847
2417,6,3,1,1,0.0836
995,3,2,2,2,0.083
1089,3,6,1,1,0.0822
5399,16,16,1,1,0.08215
1567,4,6,1,1,0.0821
6251,19,19,3,1,0.082
2079,5,10,1,1,0.08136
3864,10,4,1,1,0.0813
557,2,3,2,2,0.0812
1632,4,10,1,1,0.081
1069,3,5,2,2,0.0809
8202,27,27,1,1,0.0808
7123,23,10,2,2,0.0806
3906,10,6,1,1,0.08044
1121,3,8,1,1,0.08014
1167,3,10,2,2,0.0797
4908,14,14,2,2,0.07947
4116,10,23,2,2,0.07904
2845,7,7,1,1,0.0787
4915,14,14,8,9,0.07855
693,2,10,2,2,0.0783
3883,10,5,1,1,0.07794
1940,5,3,2,2,0.07776
9,1,1,3,1,0.07776
3196,8,8,4,4,0.07733
3086,8,3,1,1,0.0772
2039,5,8,1,1,0.0769
3127,8,5,1,1,0.07666
3847,10,3,2,2,0.07666
1161,3,10,1,1,0.0761
4606,13,13,3,1,0.0757
2085,5,10,2,2,0.0756
3889,10,5,2,2,0.0756
3824,10,2,2,2,0.0751
601,2,5,2,2,0.0748
687,2,10,1,1,0.0747
1000,3,2,3,1,0.07465
1914,5,2,2,2,0.0746
194,1,10,1,1,0.0745
1993,5,5,3,1,0.0744
3064,8,2,1,1,0.0742
651,2,8,1,1,0.0739
1127,3,8,2,2,0.07336
5164,15,15,1,1,0.0732
3624,9,9,1,1,0.0732
2531,6,10,2,2,0.07306
562,2,3,3,1,0.073
1595,4,8,1,1,0.07294
3108,8,4,1,1,0.0727
1537,4,4,4,4,0.07245
6862,22,22,6,8,0.0721
1050,3,4,3,1,0.07196
3797,10,1,1,1,0.0714
2496,6,8,1,1,0.07117
3092,8,3,2,2,0.0709
4289,11,11,7,5,0.07086
2557,6,14,1,1,0.07056
3133,8,5,2,2,0.0704
584,2,4,3,1,0.07025
6860,22,22,5,7,0.0702
2045,5,8,2,2,0.0701
3841,10,3,1,1,0.0697
1488,4,2,3,1,0.06934
3225,8,10,2,2,0.06934
3984,10,10,4,4,0.06915
3149,8,6,1,1,0.0691
4825,14,6,1,1,0.0691
3155,8,6,2,2,0.069
3940,10,8,2,2,0.06885
1510,4,3,3,1,0.0687
1131,3,8,3,1,0.0687
3912,10,6,2,2,0.0686
4224,10,37,2,2,0.0686
9040,32,33,6,8,0.06836
9139,33,32,6,8,0.06836
3818,10,2,1,1,0.06824
3070,8,2,2,2,0.0679
5171,15,15,8,9,0.0679
657,2,8,2,2,0.0676
9748,37,10,2,2,0.0676
1466,4,1,3,1,0.0675
83,1,4,3,1,0.0675
514,2,1,3,1,0.0675
7305,23,37,2,2,0.06744
2502,6,8,2,2,0.06744
5638,17,17,6,8,0.0672
661,2,8,3,1,0.0669
974,3,1,3,1,0.06665
35,1,2,3,1,0.06665
155,1,8,1,1,0.06647
3043,8,1,1,1,0.06647
1604,4,8,3,1,0.066
1326,3,23,2,2,0.0658
2049,5,8,3,1,0.0657
1031,3,3,4,4,0.0655
840,2,23,2,2,0.06537
8391,28,28,4,4,0.06525
6,1,1,2,2,0.06525
7024,23,3,2,2,0.0651
7056,23,5,2,2,0.0651
3384,8,23,2,2,0.06464
59,1,3,3,1,0.0645
2405,6,2,2,2,0.0644
625,2,6,2,2,0.0644
2246,5,23,2,2,0.0641
7006,23,2,2,2,0.0641
7095,23,8,2,2,0.0639
2423,6,3,2,2,0.0638
1998,5,5,4,4,0.06354
