,6zsl_A_fpocket,6zsl_B_fpocket,6zsl_A_p2rank,6zsl_B_p2rank,IoU
7104,37,37,1,2,0.2585
6720,32,32,7,8,0.1923
6727,32,33,7,8,0.1428
3147,10,10,1,2,0.1367
4484,17,17,7,8,0.125
5270,22,22,7,8,0.125
6690,32,17,7,8,0.125
863,3,3,1,2,0.1237
428,2,2,1,2,0.12
1974,6,6,3,3,0.1173
2571,8,8,1,2,0.11584
5478,23,23,1,2,0.11426
1967,6,6,1,2,0.10846
6698,32,22,7,8,0.10754
4554,17,32,7,8,0.10754
5300,22,32,7,8,0.1064
3154,10,10,3,3,0.1042
995,3,10,1,2,0.103
3392,11,11,5,6,0.10254
837,3,2,1,2,0.1021
5307,22,33,7,8,0.101
454,2,3,1,2,0.1004
437,2,2,3,3,0.1
582,2,10,1,2,0.0996
2254,7,7,2,1,0.0977
8,1,1,3,3,0.0961
872,3,3,3,3,0.09595
907,3,5,1,2,0.09564
7057,37,10,1,2,0.09436
2261,7,7,5,6,0.09375
6393,28,28,9,11,0.0933
4561,17,33,7,8,0.09174
3324,10,37,1,2,0.0909
3533,12,12,12,13,0.0909
0,1,1,1,2,0.0892
5412,23,10,1,2,0.08887
2580,8,8,3,3,0.08875
3953,14,14,1,2,0.0876
1288,4,4,2,1,0.0875
496,2,5,1,2,0.0873
5109,21,21,9,11,0.08655
6572,29,29,12,13,0.0851
6083,26,26,7,8,0.0847
5250,22,17,7,8,0.08405
2611,8,10,1,2,0.0837
5273,22,22,8,5,0.0833
3076,10,5,1,2,0.08295
2540,8,6,1,2,0.0826
961,3,8,1,2,0.0823
463,2,3,3,3,0.0823
3724,13,13,5,6,0.082
6927,34,34,12,13,0.082
931,3,6,1,2,0.0814
2483,8,3,1,2,0.0809
2019,6,10,1,2,0.0804
4883,19,19,4,1,0.0804
6919,34,34,3,3,0.08
3041,10,3,1,2,0.07983
4165,15,15,10,10,0.07965
846,3,2,3,3,0.07947
6717,32,32,5,6,0.07935
519,2,6,1,2,0.0789
4330,16,16,3,3,0.0781
6109,26,33,7,8,0.0781
3020,10,2,1,2,0.0779
1591,5,5,1,2,0.0777
6102,26,32,7,8,0.0775
2461,8,2,1,2,0.0766
4510,17,22,7,8,0.07635
6707,32,26,7,8,0.07635
2519,8,5,1,2,0.0763
100,1,6,3,3,0.076
1902,6,1,3,3,0.0757
2584,8,8,5,6,0.0755
93,1,6,1,2,0.0754
549,2,8,1,2,0.0751
3964,14,14,9,11,0.075
6573,29,29,13,9,0.07446
4683,18,18,13,9,0.07367
1227,3,37,1,2,0.0732
52,1,3,3,3,0.07275
155,1,10,1,2,0.0725
1934,6,3,3,3,0.0725
525,2,6,3,3,0.07196
1918,6,2,3,3,0.0717
869,3,3,2,1,0.0714
7026,37,5,1,2,0.0714
416,2,1,3,3,0.07117
32,1,2,3,3,0.07117
7011,37,3,1,2,0.0711
434,2,2,2,1,0.07104
6054,26,22,7,8,0.0709
1989,6,8,1,2,0.0705
824,3,1,3,3,0.0701
815,3,1,1,2,0.0701
2840,8,37,1,2,0.06976
1283,4,4,1,2,0.06976
938,3,6,3,3,0.06976
804,2,37,1,2,0.06946
2547,8,6,3,3,0.06915
2588,8,8,6,7,0.06915
44,1,3,1,2,0.0691
1952,6,5,1,2,0.069
7002,37,2,1,2,0.0688
1927,6,3,1,2,0.0687
5892,25,25,10,10,0.0687
3366,11,7,5,6,0.06854
6029,26,17,7,8,0.0685
1675,5,10,1,2,0.0682
407,2,1,1,2,0.0676
24,1,2,1,2,0.0676
1912,6,2,1,2,0.06744
2912,9,9,13,9,0.0672
3097,10,6,1,2,0.0672
6916,34,34,2,1,0.06665
76,1,5,1,2,0.06665
1895,6,1,1,2,0.06665
5285,22,26,7,8,0.06665
1996,6,8,3,3,0.06665
3734,13,13,12,13,0.06665
5365,23,5,1,2,0.0664
1599,5,5,3,3,0.066
2300,7,11,5,6,0.0659
3165,10,10,8,5,0.0657
7048,37,8,1,2,0.06555
5519,23,37,1,2,0.06476
3121,10,8,1,2,0.06464
5340,23,3,1,2,0.0643
7035,37,6,1,2,0.06415
122,1,8,1,2,0.06415
4159,15,15,3,3,0.064
916,3,5,3,3,0.0637
2439,8,1,1,2,0.06366
590,2,10,3,3,0.06305
3048,10,3,3,3,0.06305
2026,6,10,3,3,0.0628
2492,8,3,3,3,0.06274
7110,37,37,3,3,0.0625
3027,10,2,3,3,0.0625
4880,19,19,2,1,0.0625
5325,23,2,1,2,0.06226
505,2,5,3,3,0.06183
4530,17,26,7,8,0.06174
1133,3,23,1,2,0.06152
1959,6,5,3,3,0.0613
6913,34,34,1,2,0.06097
4489,17,17,13,9,0.06024
1003,3,10,3,3,0.0601
3587,12,29,12,13,0.0597
84,1,5,3,3,0.05966
2740,8,23,1,2,0.05963
970,3,8,3,3,0.05957
1552,5,3,1,2,0.0595
2470,8,2,3,3,0.0595
843,3,2,2,1,0.05933
4143,15,12,10,10,0.0592
3102,10,6,3,3,0.05908
895,3,4,2,1,0.05908
3959,14,14,3,3,0.05884
710,2,23,1,2,0.0586
558,2,8,3,3,0.05838
1271,4,3,2,1,0.05832
460,2,3,2,1,0.05832
5396,23,8,1,2,0.0583
6490,29,12,12,13,0.05756
3933,14,10,1,2,0.0574
5380,23,6,1,2,0.05737
7084,37,23,1,2,0.0573
130,1,8,3,3,0.05725
162,1,10,3,3,0.05704
5838,25,12,10,10,0.05698
2448,8,1,3,3,0.05682
881,3,3,6,7,0.0567
3012,10,1,3,3,0.0566
3377,11,8,5,6,0.05634
3083,10,5,3,3,0.05627
1292,4,4,4,1,0.05624
1981,6,6,9,11,0.05624
446,2,2,6,7,0.05612
2048,6,14,1,2,0.05612
1297,4,4,8,5,0.0559
2225,7,4,2,1,0.0558
1326,4,7,2,1,0.05554
3257,10,23,1,2,0.05554
3901,14,6,1,2,0.05554
5111,21,21,13,9,0.05505
1354,4,10,1,2,0.05505
2062,6,15,3,3,0.055
4481,17,17,5,6,0.05493
6687,32,17,5,6,0.05493
2632,8,11,5,6,0.0548
1530,5,2,1,2,0.05414
3704,13,11,5,6,0.05405
5149,21,28,9,11,0.05368
4209,15,25,10,10,0.05356
2176,6,37,1,2,0.05356
3157,10,10,4,1,0.05334
3667,13,7,5,6,0.0532
4681,18,18,3,3,0.0531
2566,8,7,5,6,0.0531
5491,23,23,8,5,0.05304
14,1,1,6,7,0.0529
3006,10,1,1,2,0.05283
1615,5,6,1,2,0.05264
3550,12,14,12,13,0.05264
3409,11,13,5,6,0.05264
6078,26,26,3,3,0.05225
485,2,4,2,1,0.05225
1255,4,2,2,1,0.05225
2199,7,2,2,1,0.05222
2107,6,23,1,2,0.0522
537,2,7,2,1,0.052
1560,5,3,3,3,0.05157
5856,25,15,10,10,0.05142
1605,5,5,5,6,0.05127
2278,7,8,5,6,0.05127
950,3,7,2,1,0.05118
5265,22,22,4,1,0.05103
2552,8,6,6,7,0.05093
2213,7,3,2,1,0.05078
890,3,4,1,2,0.05063
2318,7,13,5,6,0.0505
4335,16,16,9,11,0.0504
3718,13,12,12,13,0.05032
4047,14,28,9,11,0.05032
3999,14,21,9,11,0.0503
1300,4,5,1,2,0.0502
1298,4,4,13,9,0.05
1266,4,3,1,2,0.05
5735,24,24,13,9,0.05
3541,12,13,12,13,0.05
2596,8,8,13,9,0.04968
3396,11,11,7,8,0.0496
1643,5,8,1,2,0.0492
3472,11,33,7,8,0.0492
3820,13,29,12,13,0.04907
